algorithm,window_id,train_start,train_end,val_start,val_end,test_start,test_end,train_obs,val_obs,test_obs,features_used,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae
Linear_Regression,16,2012-07,2017-06,2017-07,2017-12,2018-01,2018-06,6475,739,767,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.1401117191617578,0.22777415408183657,0.18695223636512737,0.15145231187059116,0.2098340594074772,0.1704179999113784
Linear_Regression,17,2013-01,2017-12,2018-01,2018-06,2018-07,2018-12,6704,767,778,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.15246784297276605,0.20970845844742542,0.1703004679481347,0.006329892076457622,0.21661141040093826,0.17845367824610323
Linear_Regression,18,2013-07,2018-06,2018-07,2018-12,2019-01,2019-06,6896,778,788,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.00837045624653876,0.2163888835098458,0.17812161282823757,0.15306745179830883,0.22228443292440342,0.17934179224533298
Linear_Regression,19,2014-01,2018-12,2019-01,2019-06,2019-07,2019-12,7112,788,801,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.14373782740783858,0.22350539809907033,0.18056864593209643,0.1425990204232629,0.21340562556198425,0.17403942505555803
Linear_Regression,20,2014-07,2019-06,2019-07,2019-12,2020-01,2020-06,7311,801,784,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.14135746190390341,0.21356008055505862,0.17420477828622627,0.3511205720420416,0.208450345321429,0.16537698361878328
Linear_Regression,21,2015-01,2019-12,2020-01,2020-06,2020-07,2020-12,7502,784,828,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.34377064609861985,0.20962759057283317,0.1659015156328027,0.17039944947678543,0.20705158440113725,0.17035451394629272
Linear_Regression,22,2015-07,2020-06,2020-07,2020-12,2021-01,2021-06,7616,828,792,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.14264036216708664,0.21048713628276125,0.17487715397709258,0.05689238953835807,0.2061207859240869,0.16609814323443647
Linear_Regression,23,2016-01,2020-12,2021-01,2021-06,2021-07,2021-12,7781,792,844,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.09227132019069739,0.20221771265124813,0.16371209096087028,0.12217810743568913,0.21813394572848085,0.17654299237169394
Linear_Regression,24,2016-07,2021-06,2021-07,2021-12,2022-01,2022-06,7882,844,837,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.12390659420298789,0.21791908014495726,0.17601400551735744,0.05096109430108353,0.2084379471422353,0.16730619008919853
Linear_Regression,25,2017-01,2021-12,2022-01,2022-06,2022-07,2022-12,8033,837,880,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.058205618260742664,0.20764086365630038,0.1667285323199059,0.1546831477965087,0.20444224699098368,0.16345485371771415
Linear_Regression,26,2017-07,2022-06,2022-07,2022-12,2023-01,2023-06,8167,880,867,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.15138420692857335,0.2048407875744301,0.1642628067548249,0.08274391176000329,0.20341078705107146,0.17120714698793416
