combination,algorithm,window_id,test_start,test_end,test_r2,test_rmse,val_r2,train_size,test_size,test_year
Model3_plus_z_score_momentum,LinearRegression,16,2018-01,2018-06,0.13221062083417023,0.20940516177485155,0.13814547276698608,5073,589,2018
Model3_plus_z_score_momentum,LinearRegression,17,2018-07,2018-12,0.01178178126668239,0.21390976749573146,0.13348071710835863,5312,662,2018
Model3_plus_z_score_momentum,LinearRegression,18,2019-01,2019-06,0.15713498481351562,0.21937567718594073,0.01520112031657228,5455,645,2019
Model3_plus_z_score_momentum,LinearRegression,19,2019-07,2019-12,0.15346746007528111,0.21056909083940356,0.14054579929582667,5679,667,2019
Model3_plus_z_score_momentum,LinearRegression,20,2020-01,2020-06,0.37933104396018935,0.2009467495082722,0.15256251363827344,5860,617,2020
Model3_plus_z_score_momentum,LinearRegression,21,2020-07,2020-12,0.14672737668498903,0.20547696540081073,0.3750155828815618,6047,662,2020
Model3_plus_z_score_momentum,LinearRegression,22,2021-01,2021-06,0.06640400378208045,0.20247080788061975,0.13255382067290766,6146,566,2021
Model3_plus_z_score_momentum,LinearRegression,23,2021-07,2021-12,0.13943196322449047,0.2123963310005439,0.09188359396892443,6271,668,2021
Model3_plus_z_score_momentum,LinearRegression,24,2022-01,2022-06,0.12556880262936843,0.20182760376763606,0.14280489799124596,6296,683,2022
Model3_plus_z_score_momentum,LinearRegression,25,2022-07,2022-12,0.15674736698750413,0.20476550722380266,0.1259486763670129,6377,724,2022
Model3_plus_z_score_momentum,LinearRegression,26,2023-01,2023-06,0.0959483150756002,0.20004152462663358,0.15275041903449194,6531,98,2023
