model_number,model_type,r_squared,adj_r_squared,nobs,f_stat,f_pvalue,aic,bic,ievr_coef,ievr_tstat,ievr_pvalue,ievr_std_error
1,Model 1,0.07296423608444658,0.07224616035716891,1293.0,101.61078186148724,4.693036212929986e-23,-255.73846451348345,-245.40902375593973,0.48254332480731793,10.080217351897062,4.6930362129300113e-23,0.047870329375041196
2,Model 2,0.1410191226815004,0.10499734395524074,1293.0,3.9148295189181854,5.831822614076028e-18,-252.3238765183678,21.40630355654065,0.30985897909512344,5.022958808217134,5.832560280076652e-07,0.061688536762081435
3,Model 3,0.09659395918785196,0.09025673832478942,1293.0,15.242321717215747,8.580050049714044e-24,-273.12376995823433,-221.47656617051575,0.5132738395113531,10.432555120140705,1.6310360276951315e-24,0.049199245400625355
4,Model 4,0.14101912268150096,0.1049973439552413,1293.0,3.9148295189182023,5.831822614074205e-18,-252.3238765183678,21.40630355654065,0.30985897909512294,5.022958808217141,5.832560280076449e-07,0.06168853676208125
5,Model 5,0.07630719042984613,0.0741574011135463,1293.0,35.495194738982555,4.843200937915736e-22,-256.40953809116536,-235.75065657607792,0.4846181204089272,9.982215295480565,1.1818999004893158e-22,0.048548153497384235
6,Model 6,0.06373862456107982,0.06301340273657252,1293.0,87.8884534457891,2.9938024200106416e-20,-497.39192892206665,-487.06248816452296,,,,
7,Model 7,0.006418896337450408,0.004878460517818595,1293.0,4.166935263154576,0.01570881917090347,-150.0341384626886,-134.53997732637302,,,,
8,Model 8,0.07630719042984613,0.0741574011135463,1293.0,35.495194738982555,4.843200937915736e-22,-256.40953809116536,-235.75065657607792,0.4846181204089272,9.982215295480565,1.1818999004893158e-22,0.048548153497384235
9,Model 9,0.06373862456107982,0.06301340273657252,1293.0,87.8884534457891,2.9938024200106416e-20,-497.39192892206665,-487.06248816452296,,,,
10,Model 10,0.006418896337450408,0.004878460517818595,1293.0,4.166935263154576,0.01570881917090347,-150.0341384626886,-134.53997732637302,,,,
