ticker,n_events,ievr_coef,ievr_tstat,ievr_pvalue,intercept,r_squared,adj_r_squared,f_stat,f_pvalue,aic,bic,nobs,date_range_start,date_range_end,revr_mean,revr_std,ievr_mean,ievr_std,success,error
MS,15,2.1992554261252217,1.7442154467052438,0.1047022976678395,-1.9764815261562347,0.18964175276588136,0.12730650297864154,3.0422875245251886,0.10470229766783869,19.105728519571773,20.521828921776194,15.0,2020-01-16,2023-07-18,1.1804451515287615,0.4603453136844538,1.435452490048896,0.09115385381720727,True,
SPGI,15,0.23972789780287224,0.7456966317222256,0.4702061447946293,0.6929380626530921,0.04428644917594826,-0.03535634672605603,0.5560634665618729,0.4702061447946292,3.6072997101825592,4.885414369413076,14.0,2020-02-06,2023-07-27,1.1821634455595496,0.4815557870254719,1.6141758640137158,0.228532787012271,True,
JPM,16,0.44753739121460917,1.0434785312360484,0.3157434504324047,0.4502414339136528,0.07728435199469263,0.006306225225053641,1.0888474451505403,0.3157434504324049,2.473644309951748,3.889744712156168,15.0,2020-01-14,2023-10-13,1.1121225572029265,0.24780737764355834,1.4734696808350018,0.1503144350298104,True,
MCD,15,0.11111443381063281,0.66170992469935,0.5197144527016304,0.9800133031978372,0.03258405904281503,-0.0418325518000453,0.4378600244456199,0.51971445270163,0.5573838821900061,1.9734842843944262,15.0,2020-01-29,2023-07-27,1.1759212099788725,0.2270391980524762,1.763118436214255,0.36883570699539003,True,
BKNG,15,0.5667275163189189,0.361441088376988,0.7235762372889765,0.5723921156342525,0.009949222866990848,-0.06620852922016374,0.13063966036714178,0.7235762372889778,19.973039483674984,21.389139885879406,15.0,2020-02-26,2023-08-03,1.3239950597662764,0.4286957048507371,1.3262157253523361,0.07545176657841242,True,
BKR,15,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
CMS,4,0.18032430468871058,2.0309085846318156,0.17936152196940616,0.6114104329860731,0.6734475116243683,0.5101712674365525,4.124589679131187,0.1793615219694068,-9.650470191599084,-10.877881469359302,4.0,2020-04-27,2023-07-27,0.9510261181680474,0.08875957406143054,1.883360569548541,0.40393624084206114,True,
XEL,6,0.2510894308142515,2.9312351061538493,0.042761092792938264,0.5309948335428016,0.6823415051752499,0.6029268814690625,8.592139247548761,0.042761092792938334,-9.311198560616198,-9.727679622160089,6.0,2020-05-07,2023-07-27,0.9770534405959732,0.15510466884827112,1.7764929635096938,0.510266824543718,True,
UNH,15,0.30406597240432925,0.862628810272524,0.4039748090291496,0.6181184844950801,0.0541415533363494,-0.018616788714700627,0.7441284643121961,0.4039748090291479,7.059602586120274,8.475702988324695,15.0,2020-01-15,2023-07-14,1.1065242102191335,0.2851830091995458,1.606249202638825,0.2182333812421312,True,
PFE,15,0.3226581662155416,2.2327128272470063,0.0453886526872734,0.553807242654069,0.2934945328820394,0.2346190772888761,4.985006568953327,0.045388652687273226,0.7629167271911967,2.0410313864217136,14.0,2020-01-28,2023-08-01,1.250147124752205,0.6995970855061119,1.621826592353048,0.4347134142624521,True,
YUM,11,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
INTC,15,2.1263522631923304,1.437771760151961,0.17413274230910014,-1.007223522325321,0.1371979751274801,0.0708285885988248,2.0671876342904585,0.1741327423091012,35.499875449484044,36.915975851688465,15.0,2020-01-23,2023-07-27,1.8226512171946587,0.7705419039196392,1.3308588555648997,0.1342254593220444,True,
AVB,4,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
DIS,15,-0.6967325497210582,-0.5232579294367904,0.6095986493116421,2.1672684577383787,0.020627015942567883,-0.05470936744646537,0.2737988607184788,0.6095986493116404,19.80196126634602,21.21806166855044,15.0,2020-02-04,2023-08-09,1.2576139361289256,0.42857535742073494,1.3056007243721284,0.08834445540339057,True,
ORCL,15,0.30537844583073376,0.32627830588841655,0.7494067961930273,1.1371862761296887,0.008122525299169459,-0.0681757419855098,0.10645753289341629,0.7494067961930269,42.473615787631644,43.889716189836065,15.0,2020-03-12,2023-09-11,1.6041742132389702,0.9067301508356378,1.5292105369090954,0.2675994479136024,True,
HAL,15,0.2383011111012965,0.6525189303860885,0.5263692983846815,0.6775930550156164,0.03426593113711618,-0.046211907934790686,0.42578095451220466,0.5263692983846823,-23.05782745027428,-21.779712791043764,14.0,2020-01-21,2023-07-19,0.9722686266819045,0.10076717403123053,1.328385753241768,0.5165253498063501,True,
PEP,16,0.42185589142476726,2.3679896938597773,0.03406356264810593,0.2653307287306382,0.301352293534206,0.24761016226760646,5.607375190226125,0.03406356264810593,-1.9471247414844903,-0.5310243392800702,15.0,2020-02-13,2023-10-10,1.101411557873426,0.24576603847446213,2.053217846613392,0.4204947694227625,True,
ETN,11,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
CME,15,-0.08827162286116277,-0.2973547597660827,0.7708940588703275,1.3605303592912696,0.006755578912318483,-0.0696478380944261,0.08841985315554765,0.7708940588703231,11.500005655335979,12.9161060575404,15.0,2020-02-12,2023-07-26,1.202674195935779,0.32269339166822597,1.7883002287583734,0.3004693976097658,True,
AEE,5,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
VRTX,15,-0.23349821241449292,-0.4505354030868957,0.6597466884542809,1.5897004425504295,0.015373962271346464,-0.06036650216931916,0.20298214943466922,0.6597466884542824,12.411747415840242,13.827847818044663,15.0,2020-01-30,2023-08-01,1.2358298132701757,0.334103707260789,1.515517509196528,0.1774151243751333,True,
APA,15,-0.16081083172788224,-0.6814008323197365,0.5085549606197026,1.2635374953202843,0.03725093507194466,-0.04297815367205993,0.4643070942860276,0.5085549606197033,-6.865169445042767,-5.58705478581225,14.0,2020-02-26,2023-08-03,1.1460805309673552,0.3527948088936329,1.221961945072663,0.20269011945465581,True,
SJI,0,,,,,,,,,,,,,,,,,,False,No valid events
CRM,15,0.6246705110773992,0.4240843271199676,0.6784377332309817,0.7495360125080327,0.013645644707461102,-0.06222776723811885,0.17984751650879213,0.6784377332309842,39.46320289125096,40.87930329345538,15.0,2020-02-25,2023-08-30,1.5782996776230598,0.8224516902705257,1.326721288132554,0.15380003083435614,True,
KIM,6,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
MET,15,-0.2838455188565757,-1.02423040676438,0.32440864776229006,1.6475619175563414,0.07467039273094023,0.003491192171781843,1.0490479261407295,0.32440864776228945,5.80073099446297,7.2168313966673905,15.0,2020-02-05,2023-08-02,1.1526212004616758,0.2764804696753436,1.7436974840696835,0.266168485842343,True,
TFC,12,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
FANG,6,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
SCHW,15,0.2851766311454619,0.8781447603991719,0.39580550759087263,0.7273148537388939,0.055996694527723156,-0.016618944354759524,0.7711382202165181,0.39580550759087296,12.327434414298896,13.743534816503317,15.0,2020-01-16,2023-07-18,1.1697923328659325,0.3402590142858403,1.5515909468098785,0.28234291940763323,True,
PSA,4,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
GOOG,0,,,,,,,,,,,,,,,,,,False,No valid events
QCOM,15,0.6774659547935475,0.3894679111796153,0.7032353378323477,0.6163861495132498,0.01153352219969983,-0.06450236070801552,0.1516852538386125,0.7032353378323477,28.40462956725506,29.82072996945948,15.0,2020-02-05,2023-08-02,1.4824399642111497,0.5682725290578273,1.2783724533608825,0.09008451921488023,True,
X,15,0.023673005030550753,0.20699703329839364,0.8392192402558365,1.0239877175810963,0.00328515463371426,-0.07338521808676912,0.042847771794339885,0.8392192402558298,-13.47800002836874,-12.061899626164319,15.0,2020-01-30,2023-07-27,1.054827778195844,0.14010028139576722,1.3027522519827062,0.3392059999885497,True,
OGE,3,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
FRT,4,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
WFC,15,0.002818863264015986,0.0051943638192020565,0.9959408706085092,1.1403850474884243,2.248446235308954e-06,-0.0833308975165783,2.698141549014425e-05,0.9959408706082283,-2.0997305727294204,-0.8216159134989036,14.0,2020-01-14,2023-07-14,1.2323400891476324,0.39271624778738856,1.3861584366652986,0.10960156811436542,True,
MMM,15,0.672730842944228,1.968734731621898,0.07068024313937103,0.3207533746344635,0.2296714644488843,0.1704154232526447,3.8759164434943556,0.07068024313937081,15.117165008301605,16.533265410506026,15.0,2020-01-28,2023-07-25,1.3630981008285112,0.41337469821771944,1.54942312683657,0.29448018092295547,True,
DLR,8,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
WRK,3,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
XOM,15,0.2370024030736906,2.0891081731823715,0.056926144389569,0.7486770422113245,0.251340659953438,0.1937514799498563,4.364372959257384,0.056926144389569035,-10.169972433778984,-8.753872031574563,15.0,2020-01-31,2023-07-28,1.1208454723495362,0.18049740056617053,1.570315006563433,0.3818120035605967,True,
EIX,5,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
EMR,15,0.13276640543677803,0.8903268741991222,0.38947024545680275,0.968369402772714,0.057471197132042406,-0.015031018473184998,0.792681942921185,0.38947024545680115,3.2761112343497594,4.6922116365541795,15.0,2020-02-04,2023-08-02,1.2186732717531195,0.25183596827474897,1.8852952157358647,0.45473112627378415,True,
DHR,13,-0.3965231441389343,-0.7736300930410789,0.45545430896381767,1.8460870928163717,0.05160178809123017,-0.03461623117320345,0.5985035208587404,0.4554543089638199,6.738017808424516,7.867916523347589,13.0,2020-05-06,2023-07-25,1.222933312918672,0.2873315805910974,1.5715445343068215,0.16460658168518028,True,
SO,15,-0.012007954253938103,-0.10545584867513627,0.9176239187270663,1.0827300219238531,0.0008547254363772128,-0.07600260337620912,0.011120936019795635,0.9176239187270607,-2.8597345530115668,-1.4436341508071466,15.0,2020-02-20,2023-08-03,1.059589407278805,0.1993541534449143,1.9271071621095217,0.4853662540895662,True,
WEC,1,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
MU,15,-0.14811863890866267,-0.4598450431417808,0.6532235487307101,1.2836454298581899,0.016005612119861734,-0.05968626387091813,0.2114574637020681,0.6532235487307089,-3.483975218758456,-2.0678748165540357,15.0,2020-03-25,2023-09-27,1.1025223194315368,0.1967462610493164,1.2228245665850477,0.16804783403430124,True,
COF,15,0.608955981698361,1.0536588893488605,0.31122969304346143,0.3142136629912395,0.07868047843472836,0.007809746006630647,1.1101970551038671,0.3112296930434626,3.1157006063840633,4.5318010085884834,15.0,2020-01-21,2023-07-20,1.1548858137584261,0.25335982766631276,1.380513823712803,0.11670389480077534,True,
BA,15,0.7308249233420722,0.7599055562938783,0.46087053700753067,0.21408640039794896,0.04253053260911044,-0.031120964882496382,0.577456454486307,0.4608705370075312,8.6845591445888,10.10065954679322,15.0,2020-01-29,2023-07-26,1.0994860489233569,0.2992250231560924,1.2115071889946833,0.08443742299031594,True,
LVS,15,-0.024882724005932395,-0.046875558743168684,0.9633248722647391,1.1735781937017749,0.0001689958976734962,-0.07674108134096702,0.0021973180074852635,0.9633248722647242,6.176273687746569,7.592374089950989,15.0,2020-01-29,2023-07-19,1.1411705570890618,0.26933074047804745,1.30241514574475,0.14071036312727445,True,
HD,15,0.7345611057675455,1.394238356988816,0.186617860833073,0.19003016829831637,0.13007986660499637,0.06316293326691924,1.943900596098867,0.18661786083307338,16.821028479610753,18.237128881815174,15.0,2020-02-25,2023-08-15,1.3021257520821492,0.4117258575701803,1.5139592541069822,0.2021553573177612,True,
TGT,15,0.26085193663973055,0.09277755599287141,0.9276112339042832,1.377290899104218,0.0007167920819002305,-0.08255680857794134,0.008607674896011556,0.9276112339042772,34.36320746446903,35.641322123699545,14.0,2020-03-03,2023-08-16,1.6893189916297364,0.7214005186160379,1.3228687255711666,0.1675172052151297,True,
C,15,-0.18866551374756493,-1.03467605749175,0.3212220825913743,1.3167569373450694,0.08190582429744542,0.0053979763222326005,1.0705545439466733,0.3212220825913733,-10.870387522646887,-9.592272863416369,14.0,2020-01-14,2023-07-14,1.1276249542767203,0.3731056506697816,1.464148308251954,0.22675365838811212,True,
ALB,7,-4.747908191447167,-1.0327517804429418,0.3490624102902447,6.808538846510506,0.1758118908939399,0.010974269072727916,1.0665762400080665,0.3490624102902446,14.770298400326759,14.662118698437386,7.0,2020-02-19,2023-08-02,1.3747970408983505,0.621339330096676,1.144449636873865,0.05487198292630829,True,
STLD,15,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
COP,15,-0.17971310470715496,-0.8131590276636238,0.43076829994271226,1.3529620630607933,0.04840177057471262,-0.024798093227232476,0.6612276042708488,0.4307682999427127,0.5376279080818556,1.9537283102862757,15.0,2020-02-04,2023-08-03,1.1038546165473846,0.22876767273952894,1.3861395746255263,0.28005641906334683,True,
SBUX,15,-0.243727292781235,-0.5214538310235696,0.6108196318990888,1.8621081517128657,0.020487933834080763,-0.054859148178682204,0.27191409788915694,0.6108196318990893,33.81485061814911,35.23095102035353,15.0,2020-01-28,2023-08-01,1.4670444945017451,0.6836813161198677,1.6209249801404992,0.4015120913668243,True,
LOW,15,0.1516713466640845,0.11329761219079179,0.9116679916383997,1.0125164868146646,0.0010685527177168863,-0.08217573455580673,0.012836348928135361,0.9116679916383941,19.16863282194727,20.446747481177788,14.0,2020-02-26,2023-08-22,1.2274027786574009,0.417357557752678,1.4034259877150508,0.1798480970409762,True,
SLG,14,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
ITW,13,0.3917391874975858,1.7285734263441717,0.11181275314223409,0.4126050260705663,0.21360976077452043,0.14211973902674957,2.9879660902632326,0.11181275314223399,8.193231795471227,9.3231305103943,13.0,2020-01-31,2023-02-02,1.1434321486180465,0.3337083162198019,1.8655961565039585,0.3937137282322153,True,
MAA,4,0.0910421888058237,0.37205918827719187,0.7455721113117187,0.9123363104319445,0.06473355054237528,-0.402899674186437,0.1384280395814803,0.7455721113117205,-2.3042792405806907,-3.5316905183409095,4.0,2020-05-06,2023-07-26,1.0353275150986372,0.13137880422024534,1.3509253927210665,0.36715320901873916,True,
PNC,16,0.25593834154161577,0.9155369145524922,0.3765802246317088,0.7395251318729261,0.06057199396657598,-0.011691698805225803,0.8382078419082928,0.37658022463170976,-3.0682814814306774,-1.6521810792262572,15.0,2020-01-15,2023-10-13,1.1358716906895565,0.204168543300087,1.6011060817127931,0.2829903446223151,True,
HON,15,0.48238284864500813,1.5269035868113718,0.15074240555857973,0.43970498862722596,0.1520689113450936,0.08684344298702396,2.331434563417428,0.15074240555858007,16.62908716127527,18.04518756347969,15.0,2020-01-31,2023-07-27,1.300511273339742,0.4143705859181827,1.7844877510269737,0.3349787672716349,True,
BAC,15,0.09914478601474494,0.2742630929097172,0.7881922090051141,0.9284265812754272,0.00575288543733421,-0.07072766183671697,0.07522024413240722,0.7881922090051104,-7.465375325985352,-6.049274923780932,15.0,2020-01-15,2023-07-18,1.0680447236448536,0.1714032131521017,1.4082247587751344,0.1311269446764785,True,
AAPL,15,0.694656836916748,1.062748885633126,0.3072397641719474,0.4145274073786325,0.07993491448270296,0.00916067713521862,1.1294351939144447,0.30723976417194876,16.061301639624478,17.4774020418289,15.0,2020-01-28,2023-08-03,1.3538286310960381,0.390337598816161,1.3521802043819484,0.15886869535247175,True,
TXN,15,1.3361445571867545,4.002774615187891,0.0015042006733506897,-0.7199956472998515,0.552067109641813,0.5176107334604141,16.02220461999257,0.001504200673350691,0.762701686306297,2.178802088510717,15.0,2020-01-22,2023-07-25,1.3179641541100335,0.33594893383507857,1.5252539782827093,0.18681672624315804,True,
WY,15,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
DUK,7,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
ISRG,15,3.3832657016561525,3.6767498064949566,0.0027911108219633527,-3.139241720804513,0.5097759932104732,0.4720664542266635,13.518489139560705,0.0027911108219633484,15.693310301996142,17.109410704200563,15.0,2020-01-23,2023-07-20,1.4988980610616214,0.5282325431607974,1.3709061572065424,0.11147532244752995,True,
SPG,1,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
NUE,15,-0.05845423919379596,-0.27042834656242803,0.7910764853610239,1.2776917116842392,0.005594030066701228,-0.07089873685124481,0.0731314906244925,0.7910764853610192,1.0461775697547502,2.4622779719591703,15.0,2020-01-28,2023-07-24,1.1944159670797265,0.22761538610231755,1.4246313997591307,0.29123797416976455,True,
VNO,7,1.9642047862328706,1.980579596781784,0.10450064296839182,-1.1866500640664996,0.4396312215249193,0.3275574658299032,3.9226955391883003,0.10450064296839166,6.1849075241083185,6.076727822218945,7.0,2020-02-18,2023-07-31,1.1742208564510612,0.4081101030199414,1.2019474430899086,0.1377637147472015,True,
LMT,15,0.24655224776036858,1.5955540229813616,0.13657220281294827,0.7625192243027015,0.17501917586856885,0.1062707738576163,2.545792640251999,0.13657220281294866,-11.712095233643588,-10.43398057441307,14.0,2020-01-28,2023-07-18,1.41467866688419,0.9094441514099632,1.7163592782288282,0.26095017203772114,True,
UPS,15,1.0500519817138463,1.1453718502053134,0.2727036651169253,0.41064889578529945,0.09166349773765681,0.021791459102092015,1.311876675242736,0.27270366511692656,39.77171476946846,41.18781517167288,15.0,2020-01-30,2023-08-08,1.966735941759474,0.8659038370691811,1.4819142985991993,0.24966466315119543,True,
AXP,15,0.6069075071115891,1.500748036996267,0.1573128605599875,0.3131805694190613,0.14766643987145023,0.0821023198615618,2.252244670548145,0.15731286055998792,13.275870440044269,14.69197084224869,15.0,2020-01-24,2023-07-21,1.2318586688440456,0.3695911985332018,1.5137036346727422,0.2340130155626363,True,
NKE,15,-0.07592382248900742,-0.044007141117368954,0.9656225252719537,1.566393059731041,0.00016135966463359797,-0.08315852702998017,0.0019366284693239765,0.9656225252719584,20.342894188509018,21.621008847739535,14.0,2020-03-24,2023-09-28,1.7098143242702795,1.031980545183749,1.3036436460099652,0.07930972637838374,True,
VVC,0,,,,,,,,,,,,,,,,,,False,No valid events
EOG,15,0.4999504345562287,0.5441060093446475,0.5955778878638558,0.5950941265857254,0.022266110563585517,-0.05294418862383088,0.2960513494049606,0.5955778878638545,8.077929058235267,9.494029460439688,15.0,2020-02-27,2023-08-03,1.2113722857229319,0.2901804646867326,1.232678514789638,0.08660907539332102,True,
MRK,15,0.1102596081678557,0.5378548362112948,0.5997646443406839,0.9265022273365401,0.02176849720232865,-0.053480079935953606,0.28928782483588067,0.599764644340682,8.144421744385124,9.560522146589545,15.0,2020-02-05,2023-08-01,1.1241742135646724,0.2907503619454636,1.7927869463058679,0.3890613088157639,True,
ANTM,0,,,,,,,,,,,,,,,,,,False,No valid events
FDX,15,0.38091366852866554,0.3421398002525283,0.7377137473334858,0.7684647982127967,0.008924228912845722,-0.06731236886308922,0.11705964291683973,0.7377137473334872,15.519969798259428,16.93607020046385,15.0,2020-03-17,2023-09-20,1.262303205331862,0.3693683257544719,1.296457564850813,0.09160484512041407,True,
NFLX,15,2.8004184724722125,0.7279988264680367,0.4795224443277255,-1.6477919198817108,0.039170952328452024,-0.0347389744155131,0.5299822913388339,0.47952244432772684,44.5205673845724,45.93666778677682,15.0,2020-01-21,2023-07-19,1.68741093435975,0.9863173402777595,1.1909658813588466,0.06970690491181533,True,
NOC,15,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
PKG,12,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
PLD,14,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
LIN,7,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
GS,15,0.7983167596881904,2.061875805580498,0.06156637561454912,-0.1425313592235076,0.26159898032431506,0.20006556201800807,4.251331837638242,0.06156637561454874,-20.529165266962828,-19.25105060773231,14.0,2020-01-15,2023-07-19,1.0484138749020895,0.2527153277990471,1.4151894670057843,0.07689068466509344,True,
USB,15,0.26154971541884325,0.8464119699170749,0.4126329815508205,0.8357456588905429,0.05223036162450001,-0.020674995173615374,0.7164132228189051,0.41263298155081973,12.191866868836723,13.607967271041144,15.0,2020-01-15,2023-07-19,1.258309949860191,0.3380511827783296,1.6156174756028991,0.29538587521070375,True,
ADBE,15,1.3198835540329121,1.6431985909848268,0.12429630196851835,-0.5727900237540232,0.1719798811872284,0.10828602589393832,2.7001016094145225,0.12429630196851818,21.0715168156975,22.48761721790192,15.0,2020-03-12,2023-09-14,1.2622747815549005,0.48624988355093873,1.390323259731416,0.15277866651819322,True,
CNP,10,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
ADI,15,-0.43258181185698663,-1.2878985828884075,0.22023507097268283,1.8427725212340107,0.11315360233827165,0.044934648671984934,1.6586827598059615,0.2202350709726839,4.419771089954114,5.835871492158534,15.0,2020-02-19,2023-08-23,1.1790743743779468,0.26970999585615335,1.5342719658206176,0.20973116987460905,True,
PH,0,,,,,,,,,,,,,,,,,,False,No valid events
CB,4,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
AMT,13,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
ALXN,0,,,,,,,,,,,,,,,,,,False,No valid events
ED,10,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
DTE,7,,,,,,,,,,,,,,,,,,False,exog contains inf or nans
ICE,0,,,,,,,,,,,,,,,,,,False,No valid events
DD,15,-0.2731347642702933,-1.3352716497590196,0.2046984153834782,1.7604280341197132,0.1206085614158009,0.05296306614009327,1.7829503786501653,0.20469841538347902,11.50153894051083,12.917639342715251,15.0,2020-01-30,2023-08-02,1.2412283468891885,0.3429645394998334,1.9008919959991852,0.4360751184395164,True,
TMO,7,1.2089963884020714,1.085818930088219,0.32711290476043325,-0.7030048269364462,0.19080793403766927,0.02896952084520321,1.1790027489379242,0.3271129047604334,1.01012966495664,0.9019499630672665,7.0,2020-04-22,2023-07-26,1.0650299974617767,0.23467214400937503,1.4623987642634992,0.08478807050425767,True,
