earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,underlying_price,methodology,ticker,normative_iv_rv_ratio,dispersion,SMB,HML,RMW,CMA,RF,term_ratio,skew,kurt,iv_ratio,smirk
2015-01-27,1.5418163215291798,1.2746676870619915,0.8267312190584226,0.4237004085232019,0.2747549343366551,0.2322685379139145,0.2960652,0.2322685379139145,0.1502349868440222,1.1454505069214638,113.91,ST/MT Ratio (Expanding EWM),AAPL,0.8267312190584226,0.06599098873115057,0.019384995355393144,0.018595049314786057,-0.006262702464750725,0.03526611152306368,0.0005038411868353503,1.033333163995407,1.1153536747585733,0.8179309318214267,0.962786328459036,0.9014878643272237
2015-04-27,1.029847965193672,1.1930114874814832,1.1584345726770715,0.1933967736768631,0.1877602905653536,0.2742186136313791,0.3271459561434817,0.2742186136313791,0.2209709782644811,1.2527915311072786,123.25,ST/MT Ratio (Expanding EWM),AAPL,1.1584345726770715,0.17959185695956084,-0.002839250540991463,0.005934232444303607,-0.03213917547946605,-0.006929882903649692,0.0010817878334902086,0.8966024907424245,1.1038892686414261,0.5198398090390102,1.03454556840079,1.2922592878256198
2015-07-21,1.5001131601529345,1.3775306181257492,0.9182844699431288,0.265013848316577,0.176598474772345,0.1566669351376255,0.2158135,0.1566669351376255,0.1095365970546889,1.4365034219180517,127.61,ST/MT Ratio (Expanding EWM),AAPL,0.9182844699431288,0.1705750756874341,0.02466909883352424,-0.055263996990616134,0.003390458348740076,-0.02455674351139639,0.0033227444668851355,0.9401089482677311,1.0808731757440433,-0.46593779458872175,0.9143873197310963,1.210163805836998
2015-10-27,1.1513731295034122,1.0999096425100356,0.9553025116926492,0.2722626720467963,0.2363846509715594,0.3572541187140422,0.39294725,0.3572541187140422,0.214543305598698,1.7898572596152218,112.44,ST/MT Ratio (Expanding EWM),AAPL,0.9553025116926492,0.09079715720663231,0.05530604497428089,-0.02418006181456263,0.02555692934466618,0.011689040345088803,0.0018308773143571836,1.0282732700287915,1.204281922417558,-0.4005488044537935,1.0715486313548073,1.0014569897365502
2016-01-26,1.413534713959299,1.2514753029605852,0.885351658223669,0.3570228789910158,0.252494526193473,0.2372708628748321,0.296938625,0.2372708628748321,0.1830708410792362,1.430972429288369,106.82,ST/MT Ratio (Expanding EWM),AAPL,0.885351658223669,0.09882022296052138,-0.006195368115316759,-0.0003226266716484638,-0.01969390450367301,0.005167442485359915,0.002079573534942166,0.891224726760008,0.9046104056211941,-0.47863710572371243,0.9927804334499086,0.9467515042363757
2016-04-26,1.3556702249379065,1.3038312751298842,0.9617613864681608,0.3345198348347895,0.246709796610314,0.2000747757596269,0.26086375,0.2000747757596269,0.1782888286133402,1.5381606635652478,105.19,ST/MT Ratio (Expanding EWM),AAPL,0.9617613864681608,0.20114438374053778,-0.00619479349322132,-0.032290842285233226,0.04098209809104422,0.011891723714080735,0.002758824416163609,1.194343376164375,1.0234530594095803,-0.47870421319068734,0.9597246938483873,1.1350812913365906
2016-07-26,1.5410078834940288,1.1445987186958573,0.7427598073675218,0.3726091040116839,0.2416991175533477,0.2427556947289311,0.2778578571428572,0.2427556947289311,0.1831537683051153,1.4194278531347304,92.04,ST/MT Ratio (Expanding EWM),AAPL,0.7427598073675218,0.24539372897346412,0.05727244854275871,0.021997861899886135,0.015769802213189868,0.0077894349048522405,0.0026963228620803235,0.8256174095459154,1.2449736520564627,2.845998716948589,0.9740242262002142,1.0800381074363439
2016-10-25,0.8905016352314935,1.345784701387864,1.5112658395489815,0.1551128652033576,0.1741281136970085,0.1945410731226202,0.2618104,0.1945410731226202,0.2210846824590974,1.3455206012590943,112.88,ST/MT Ratio (Expanding EWM),AAPL,1.5112658395489815,0.21744097648143537,0.02886021552035181,0.04992252497031092,0.028764514640601434,0.01565602473264815,0.0022787998123854607,0.8088537804117989,1.1562840898908886,0.6557042322103555,0.9810175398304667,0.9827348442466434
2017-01-31,1.57414694610066,1.2599252253108482,0.8003860303079237,0.3193546549763795,0.2028043177233081,0.1801787590480524,0.2270117635898464,0.1801787590480524,0.1310464599649901,1.1509683000126771,115.82,ST/MT Ratio (Expanding EWM),AAPL,0.8003860303079237,0.19189568844797475,-0.014431603507723325,0.0405628555509195,-0.013445863846303427,0.039182642484795166,0.0017913316287795343,1.0616092310635041,1.0664868124129259,-0.28136284388035193,1.1067327244460472,1.1260289132146775
2017-05-02,1.020684704441075,1.440934125651202,1.411732848921504,0.1086913736839202,0.1064428594852098,0.1446315922018909,0.2084045968509729,0.1446315922018909,0.1201406258590828,1.5484554242517574,143.7,ST/MT Ratio (Expanding EWM),AAPL,1.411732848921504,0.13642323772578754,0.020989601525508765,-0.0024032861279062396,0.024363130676665394,0.01720258012821615,0.0016873315542676427,1.1434688219717983,0.9469903595505972,2.1426664077778246,1.1020550360451777,0.9460043747312391
2017-08-01,1.4340585456221733,1.2380662693531437,0.8633303522597834,0.2737377924703902,0.1908222172987398,0.1978696468143765,0.2449757354496992,0.1978696468143765,0.1613639167814808,1.323663311761223,143.5,ST/MT Ratio (Expanding EWM),AAPL,0.8633303522597834,0.051061886640960945,-0.01421961924843618,0.04872178410549856,-0.02429834750988283,-0.02324138747274853,0.002857898825291343,1.0779282919486883,1.0766189155519321,2.7799391422233724,0.9424834051853698,1.1571333563262953
2017-11-02,1.145562396431944,1.392292433504015,1.215378959575275,0.2092611750210738,0.1825807034673355,0.1802875088953928,0.2510129344903433,0.1802875088953928,0.1509785352351537,1.10494889020432,154.48,ST/MT Ratio (Expanding EWM),AAPL,1.215378959575275,0.16244293843864158,-0.014300541374958993,0.008460023716063352,0.02525618752091272,0.037064071317811295,0.0025535695310677934,0.9527920181851783,1.2827258682363512,0.31989958116110584,1.18865577284754,1.2605943404402997
2018-02-01,1.2321096213311684,1.484598805673966,1.204924285933267,0.1991635869054645,0.1607703563844828,0.1628358717672673,0.2417459407465641,0.1628358717672673,0.1527608296122721,1.36605396621981,172.26,ST/MT Ratio (Expanding EWM),AAPL,1.204924285933267,0.05223045458594964,0.010468679504811194,-0.006112579133541189,0.007295983494838283,0.04401536408720718,0.0017426999993822106,0.9081532941242626,1.2214167107305711,2.982416807214024,0.9757989006513847,1.074710867729328
2018-05-01,1.4373517385533563,1.0734771834044396,0.7468437645505311,0.3445100829015124,0.2397201315599304,0.3139921420165426,0.3370634002230449,0.3139921420165426,0.1613785492052027,1.4893131512892674,166.68,ST/MT Ratio (Expanding EWM),AAPL,0.7468437645505311,0.13446304546588458,-0.06496480856302293,-0.014402079906228191,0.0168312804996196,0.08180141836280212,0.0030821123129931407,1.0080722946267038,1.0179724543215458,-0.938940641415881,0.966038773259258,1.0127747537367033
