period_name,ievr_coef,ievr_tstat,ievr_pvalue,intercept,r_squared,adj_r_squared,nobs,f_statistic,f_pvalue,period,period_type,observations,start_date,end_date
Half-Year 2022H1,0.7115736157045338,3.479560819960878,0.0008454785730715755,0.35592801530527673,0.140607560374151,0.12899414902785566,76.0,12.107343499806854,0.0008454785730715593,2022H1,half_year,76,2022-01-14,2022-06-16
Half-Year 2022H2,0.2512604056465122,0.6779190191275485,0.49990919424975544,0.8606831433830724,0.0060903364667572735,-0.007161792380352638,77.0,0.459574196494886,0.49990919424974456,2022H2,half_year,77,2022-07-14,2022-12-15
Half-Year 2023H1,0.28804931691791197,1.3935193450664887,0.16727476484192702,0.7951423169295636,0.023412729330538617,0.011356096359310675,83.0,1.9418961650745283,0.1672747648419272,2023H1,half_year,83,2023-01-13,2023-06-15
Half-Year 2023H2,0.29535976602209213,1.0187795754445834,0.3147503434889554,0.8316638072954087,0.026587278234549983,0.0009711539775644207,40.0,1.037911823343048,0.3147503434889547,2023H2,half_year,40,2023-07-14,2023-08-23
Quarter 2022Q1,0.9021526726746403,2.713965948489264,0.010036259826292217,0.18288256955480559,0.16602073036724108,0.14348075010689632,39.0,7.365611169559254,0.010036259826292132,2022Q1,quarter,39,2022-01-14,2022-03-22
Quarter 2022Q2,0.5360733511241883,2.172472674145923,0.0366781674581122,0.5075293383040926,0.11882378124787452,0.09364731785495672,37.0,4.7196375199107425,0.03667816745811208,2022Q2,quarter,37,2022-04-13,2022-06-16
Quarter 2022Q3,0.33407313061339255,0.8666674199006356,0.3920270717037848,0.726755325294572,0.021009483787866934,-0.006961673818193903,37.0,0.7511124167172283,0.3920270717037835,2022Q3,quarter,37,2022-07-14,2022-09-15
Quarter 2022Q4,0.4362992330456311,0.6219415137022365,0.5376942803169136,0.7050637434171076,0.010076670447635494,-0.015973943487953113,40.0,0.3868112464662283,0.5376942803169118,2022Q4,quarter,40,2022-10-13,2022-12-15
Quarter 2023Q1,0.037731763796108764,0.1327860346711612,0.8950632736889723,1.1043228433282728,0.0004637882481194344,-0.025839796271666993,40.0,0.017632131003688517,0.8950632736889828,2023Q1,quarter,40,2023-01-13,2023-03-15
Quarter 2023Q2,0.4430929128514477,1.496613732781576,0.14215290044746914,0.5971828487051377,0.05180065442164716,0.028673841114858045,43.0,2.239852665150393,0.1421529004474697,2023Q2,quarter,43,2023-04-14,2023-06-15
Quarter 2023Q3,0.29535976602209213,1.0187795754445834,0.3147503434889554,0.8316638072954087,0.026587278234549983,0.0009711539775644207,40.0,1.037911823343048,0.3147503434889547,2023Q3,quarter,40,2023-07-14,2023-08-23
Year 2022,0.5696342909378737,3.0939768745928267,0.0023536947444605808,0.5159427394428407,0.059615945448745045,0.053388236478206896,153.0,9.572692900515198,0.0023536947444605925,2022,year,153,2022-01-14,2022-12-15
Year 2023,0.34037728076300117,2.0977877249359955,0.038004859990035715,0.7500702948976045,0.0350932081781653,0.027118771882117088,123.0,4.400713338892174,0.03800485999003495,2023,year,123,2023-01-13,2023-08-23
