earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,underlying_price,methodology,ticker
2015-01-27,1.5418163215291798,1.2746676870619917,0.8267312190584226,0.42370040852320195,0.27475493433665515,0.23226853791391458,0.29606520000000003,0.23226853791391458,0.15023498684402226,1.1454505069214638,113.91,ST/MT Ratio (Expanding EWM),AAPL
2015-04-27,1.029847965193672,1.1930114874814832,1.1584345726770717,0.19339677367686317,0.18776029056535362,0.2742186136313791,0.32714595614348174,0.2742186136313791,0.22097097826448114,1.2527915311072786,123.25,ST/MT Ratio (Expanding EWM),AAPL
2015-07-21,1.5001131601529345,1.3775306181257492,0.9182844699431287,0.265013848316577,0.17659847477234505,0.15666693513762558,0.21581350000000002,0.15666693513762558,0.10953659705468898,1.4365034219180517,127.61,ST/MT Ratio (Expanding EWM),AAPL
2015-10-27,1.1513731295034122,1.0999096425100356,0.9553025116926493,0.27226267204679633,0.23638465097155945,0.3572541187140422,0.39294725,0.3572541187140422,0.21454330559869805,1.7898572596152218,112.44,ST/MT Ratio (Expanding EWM),AAPL
2016-01-26,1.413534713959299,1.2514753029605852,0.885351658223669,0.35702287899101587,0.252494526193473,0.23727086287483212,0.296938625,0.23727086287483212,0.18307084107923627,1.430972429288369,106.82,ST/MT Ratio (Expanding EWM),AAPL
2016-04-26,1.3556702249379065,1.3038312751298842,0.9617613864681607,0.33451983483478953,0.24670979661031409,0.20007477575962693,0.26086375,0.20007477575962693,0.1782888286133402,1.5381606635652478,105.19,ST/MT Ratio (Expanding EWM),AAPL
2016-07-26,1.5410078834940288,1.1445987186958573,0.7427598073675218,0.3726091040116839,0.2416991175533477,0.2427556947289311,0.2778578571428572,0.2427556947289311,0.18315376830511537,1.4194278531347304,92.04,ST/MT Ratio (Expanding EWM),AAPL
2016-10-25,0.8905016352314935,1.3457847013878639,1.5112658395489815,0.15511286520335768,0.17412811369700856,0.1945410731226202,0.2618104,0.1945410731226202,0.22108468245909743,1.3455206012590943,112.88,ST/MT Ratio (Expanding EWM),AAPL
2017-01-31,1.5741469461006599,1.2599252253108482,0.8003860303079237,0.31935465497637955,0.20280431772330812,0.18017875904805242,0.22701176358984645,0.18017875904805242,0.13104645996499018,1.1509683000126771,115.82,ST/MT Ratio (Expanding EWM),AAPL
2017-05-02,1.020684704441075,1.440934125651202,1.411732848921504,0.10869137368392028,0.10644285948520987,0.14463159220189095,0.20840459685097296,0.14463159220189095,0.1201406258590828,1.5484554242517574,143.7,ST/MT Ratio (Expanding EWM),AAPL
