earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,underlying_price,methodology,ticker,dispersion
2015-01-27,1.5418163215291798,1.2746676870619915,0.8267312190584226,0.4237004085232019,0.2747549343366551,0.2322685379139145,0.2960652,0.2322685379139145,0.1502349868440222,1.1454505069214638,113.91,ST/MT Ratio (Expanding EWM),AAPL,
2015-04-27,1.029847965193672,1.1930114874814832,1.1584345726770715,0.1933967736768631,0.1877602905653536,0.2742186136313791,0.3271459561434817,0.2742186136313791,0.2209709782644811,1.2527915311072786,123.25,ST/MT Ratio (Expanding EWM),AAPL,0.03773584905660377
2015-07-21,1.5001131601529345,1.3775306181257492,0.9182844699431288,0.265013848316577,0.176598474772345,0.1566669351376255,0.2158135,0.1566669351376255,0.1095365970546889,1.4365034219180517,127.61,ST/MT Ratio (Expanding EWM),AAPL,0.045454545454545456
2015-10-27,1.1513731295034122,1.0999096425100356,0.9553025116926492,0.2722626720467963,0.2363846509715594,0.3572541187140422,0.39294725,0.3572541187140422,0.214543305598698,1.7898572596152218,112.44,ST/MT Ratio (Expanding EWM),AAPL,0.021276595744680854
2016-01-26,1.413534713959299,1.2514753029605852,0.885351658223669,0.3570228789910158,0.252494526193473,0.2372708628748321,0.296938625,0.2372708628748321,0.1830708410792362,1.430972429288369,106.82,ST/MT Ratio (Expanding EWM),AAPL,0.024691358024691357
2016-04-26,1.3556702249379065,1.3038312751298842,0.9617613864681608,0.3345198348347895,0.246709796610314,0.2000747757596269,0.26086375,0.2000747757596269,0.1782888286133402,1.5381606635652478,105.19,ST/MT Ratio (Expanding EWM),AAPL,0.02
2016-07-26,1.5410078834940288,1.1445987186958573,0.7427598073675218,0.3726091040116839,0.2416991175533477,0.2427556947289311,0.2778578571428572,0.2427556947289311,0.1831537683051153,1.4194278531347304,92.04,ST/MT Ratio (Expanding EWM),AAPL,0.028571428571428574
2016-10-25,0.8905016352314935,1.345784701387864,1.5112658395489815,0.1551128652033576,0.1741281136970085,0.1945410731226202,0.2618104,0.1945410731226202,0.2210846824590974,1.3455206012590943,112.88,ST/MT Ratio (Expanding EWM),AAPL,0.024390243902439025
2017-01-31,1.57414694610066,1.2599252253108482,0.8003860303079237,0.3193546549763795,0.2028043177233081,0.1801787590480524,0.2270117635898464,0.1801787590480524,0.1310464599649901,1.1509683000126771,115.82,ST/MT Ratio (Expanding EWM),AAPL,0.0375
2017-05-02,1.020684704441075,1.440934125651202,1.411732848921504,0.1086913736839202,0.1064428594852098,0.1446315922018909,0.2084045968509729,0.1446315922018909,0.1201406258590828,1.5484554242517574,143.7,ST/MT Ratio (Expanding EWM),AAPL,0.02
2017-08-01,1.4340585456221733,1.2380662693531437,0.8633303522597834,0.2737377924703902,0.1908222172987398,0.1978696468143765,0.2449757354496992,0.1978696468143765,0.1613639167814808,1.323663311761223,143.5,ST/MT Ratio (Expanding EWM),AAPL,0.02564102564102564
2017-11-02,1.145562396431944,1.392292433504015,1.215378959575275,0.2092611750210738,0.1825807034673355,0.1802875088953928,0.2510129344903433,0.1802875088953928,0.1509785352351537,1.10494889020432,154.48,ST/MT Ratio (Expanding EWM),AAPL,0.021276595744680854
2018-02-01,1.2321096213311684,1.484598805673966,1.204924285933267,0.1991635869054645,0.1607703563844828,0.1628358717672673,0.2417459407465641,0.1628358717672673,0.1527608296122721,1.36605396621981,172.26,ST/MT Ratio (Expanding EWM),AAPL,0.021276595744680854
2018-05-01,1.4373517385533563,1.0734771834044396,0.7468437645505311,0.3445100829015124,0.2397201315599304,0.3139921420165426,0.3370634002230449,0.3139921420165426,0.1613785492052027,1.4893131512892674,166.68,ST/MT Ratio (Expanding EWM),AAPL,0.014705882352941176
2018-07-31,1.5525116728464294,1.3414833063120812,0.8640729276144885,0.3341424689790152,0.2152823712744077,0.1850423866914095,0.2482312727066706,0.1850423866914095,0.1490368330366487,1.4101144449264538,187.18,ST/MT Ratio (Expanding EWM),AAPL,0.018518518518518517
2018-11-01,1.4383609709928036,1.2412437510021015,0.8629570573966248,0.3768795808135645,0.2621443850519404,0.2042797191316742,0.2535609248286551,0.2042797191316742,0.1864090931131695,1.2966641671803047,229.28,ST/MT Ratio (Expanding EWM),AAPL,0.014492753623188408
2019-01-29,1.1515410580682617,1.0862749659927275,0.943322826730104,0.3413566175883027,0.2962745630454881,0.3711787305273019,0.4032021628807687,0.3711787305273019,0.2339611178192021,1.3657780642137334,157.74,ST/MT Ratio (Expanding EWM),AAPL,0.04273504273504274
2019-04-30,1.4644701194511998,1.2897079538100436,0.8806652567915505,0.3397236253974487,0.2318632856434808,0.2097243003624932,0.2704830982847541,0.2097243003624932,0.1957607576458341,1.401369962176738,191.24,ST/MT Ratio (Expanding EWM),AAPL,0.03389830508474576
2019-07-30,1.1668466272637843,1.241758801718878,1.0642005321905588,0.2136618677862913,0.1830739262418847,0.215823666629179,0.268000937656024,0.215823666629179,0.1928372813506872,1.266515717634634,201.55,ST/MT Ratio (Expanding EWM),AAPL,0.03773584905660377
2019-10-30,1.2285811213733775,1.1900844604660674,0.9686657557750225,0.2054126714730982,0.1671849588843484,0.2371308286426188,0.2822057142650225,0.2371308286426188,0.1635204787221084,1.489191349713901,223.97,ST/MT Ratio (Expanding EWM),AAPL,0.014084507042253521
2020-01-28,1.290380176191389,1.1425377030686803,0.8854271974643383,0.1993476685619253,0.1537593435694619,0.2490706645703523,0.284572625,0.2490706645703523,0.1338550687058109,1.0987793887708863,291.52,ST/MT Ratio (Expanding EWM),AAPL,0.01769911504424779
2020-04-30,1.0111683072460893,1.0013477879266288,0.9902879478627978,0.2430442061004036,0.2402422712611882,0.5428377499999999,0.5435693801655682,0.5428377499999999,0.2321018147020647,1.5208892692724474,254.29,ST/MT Ratio (Expanding EWM),AAPL,0.12698412698412698
