earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,underlying_price,methodology,ticker,SMB,HML,RMW,CMA,RF,Mkt_Return,Mkt_Volatility,Factor_Volatility,SMB_HML_Interaction,RMW_CMA_Interaction,SMB_RMW_Interaction,HML_CMA_Interaction,SMB_Deviation,HML_Deviation,RMW_Deviation,CMA_Deviation,High_Volatility_Regime,SMB_Momentum,HML_Momentum,RMW_Momentum,CMA_Momentum
2015-01-27,1.5418163215291798,1.2746676870619915,0.8267312190584226,0.4237004085232019,0.2747549343366551,0.2322685379139145,0.2960652,0.2322685379139145,0.1502349868440222,1.1454505069214638,113.91,ST/MT Ratio (Expanding EWM),AAPL,-0.009300000000000001,-0.0345,0.0158,-0.016399999999999998,0.0,-0.030899999999999997,0.1436613790069614,0.06704021750817975,0.0003208500000000001,-0.00025912,-0.00014694000000000003,0.0005658,,,,,0,,,,
2015-04-27,1.029847965193672,1.1930114874814832,1.1584345726770715,0.1933967736768631,0.1877602905653536,0.2742186136313791,0.3271459561434817,0.2742186136313791,0.2209709782644811,1.2527915311072786,123.25,ST/MT Ratio (Expanding EWM),AAPL,-0.0301,0.018000000000000002,0.0005,-0.0062,0.0,0.006,0.1436613790069614,0.06704021750817975,-0.0005418,-3.1e-06,-1.505e-05,-0.00011160000000000002,,,,,0,,,,
2015-07-21,1.5001131601529345,1.3775306181257492,0.9182844699431288,0.265013848316577,0.176598474772345,0.1566669351376255,0.2158135,0.1566669351376255,0.1095365970546889,1.4365034219180517,127.61,ST/MT Ratio (Expanding EWM),AAPL,-0.0458,-0.0416,0.0031,-0.024399999999999998,0.0,0.015700000000000002,0.1436613790069614,0.06704021750817975,0.0019052799999999999,-7.563999999999999e-05,-0.00014198,0.0010150399999999998,,,,,0,,,,
2015-10-27,1.1513731295034122,1.0999096425100356,0.9553025116926492,0.2722626720467963,0.2363846509715594,0.3572541187140422,0.39294725,0.3572541187140422,0.214543305598698,1.7898572596152218,112.44,ST/MT Ratio (Expanding EWM),AAPL,-0.0206,-0.004699999999999999,0.0095,0.0060999999999999995,0.0,0.0775,0.1436613790069614,0.06704021750817975,9.681999999999998e-05,5.794999999999999e-05,-0.00019569999999999999,-2.8669999999999995e-05,,,,,0,,,,
2016-01-26,1.413534713959299,1.2514753029605852,0.885351658223669,0.3570228789910158,0.252494526193473,0.2372708628748321,0.296938625,0.2372708628748321,0.1830708410792362,1.430972429288369,106.82,ST/MT Ratio (Expanding EWM),AAPL,-0.0344,0.0208,0.0278,0.0305,0.0001,-0.0573,0.1436613790069614,0.06704021750817975,-0.00071552,0.0008479,-0.00095632,0.0006343999999999999,,,,,0,,,,
2016-04-26,1.3556702249379065,1.3038312751298842,0.9617613864681608,0.3345198348347895,0.246709796610314,0.2000747757596269,0.26086375,0.2000747757596269,0.1782888286133402,1.5381606635652478,105.19,ST/MT Ratio (Expanding EWM),AAPL,0.0123,0.0322,-0.0285,0.0177,0.0001,0.0092,0.14754077402535204,0.07172442010491917,0.00039606,-0.00050445,-0.00035055000000000004,0.00056994,,,,,0,-0.021316666666666668,-0.0016333333333333339,0.0047,0.001216666666666667
2016-07-26,1.5410078834940288,1.1445987186958573,0.7427598073675218,0.3726091040116839,0.2416991175533477,0.2427556947289311,0.2778578571428572,0.2427556947289311,0.1831537683051153,1.4194278531347304,92.04,ST/MT Ratio (Expanding EWM),AAPL,0.024700000000000003,-0.0124,0.0131,-0.0116,0.0002,0.039599999999999996,0.15124127322683026,0.0656245916508951,-0.00030628000000000003,-0.00015196,0.0003235700000000001,0.00014383999999999998,,,,,0,-0.01565,0.00205,0.0042499999999999994,0.0020166666666666666
2016-10-25,0.8905016352314935,1.345784701387864,1.5112658395489815,0.1551128652033576,0.1741281136970085,0.1945410731226202,0.2618104,0.1945410731226202,0.2210846824590974,1.3455206012590943,112.88,ST/MT Ratio (Expanding EWM),AAPL,-0.04019999999999999,0.041100000000000005,0.009899999999999999,0.0025,0.0002,-0.019899999999999998,0.10864368366361662,0.0722922502404767,-0.0016522199999999998,2.475e-05,-0.00039797999999999987,0.00010275000000000002,,,,,0,-0.01733333333333333,0.0059,0.005816666666666667,0.0034666666666666665
2017-01-31,1.57414694610066,1.2599252253108482,0.8003860303079237,0.3193546549763795,0.2028043177233081,0.1801787590480524,0.2270117635898464,0.1801787590480524,0.1310464599649901,1.1509683000126771,115.82,ST/MT Ratio (Expanding EWM),AAPL,-0.0144,-0.0276,-0.0051,-0.0106,0.0004,0.0198,0.08520569229810879,0.08100998852599643,0.00039744,5.406e-05,7.344e-05,0.00029256,,,,,0,-0.0121,0.008233333333333334,0.00445,0.0057666666666666665
2017-05-02,1.020684704441075,1.440934125651202,1.411732848921504,0.1086913736839202,0.1064428594852098,0.1446315922018909,0.2084045968509729,0.1446315922018909,0.1201406258590828,1.5484554242517574,143.7,ST/MT Ratio (Expanding EWM),AAPL,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.011300000000000001,0.0667983328588915,0.08254558264333603,0.00114218,-0.00016434,-0.00029601,0.00063412,,,,,0,-0.01365,0.0026499999999999996,0.004516666666666666,0.001983333333333333
2017-08-01,1.4340585456221733,1.2380662693531437,0.8633303522597834,0.2737377924703902,0.1908222172987398,0.1978696468143765,0.2449757354496992,0.1978696468143765,0.1613639167814808,1.323663311761223,143.5,ST/MT Ratio (Expanding EWM),AAPL,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,0.0027,0.060415553385772154,0.08202199063594591,0.00038979,-4.76e-05,-3.66e-05,0.00050694,,,,,0,-0.010966666666666666,-0.004366666666666666,0.00021666666666666622,-0.007066666666666666
2017-11-02,1.145562396431944,1.392292433504015,1.215378959575275,0.2092611750210738,0.1825807034673355,0.1802875088953928,0.2510129344903433,0.1802875088953928,0.1509785352351537,1.10494889020432,154.48,ST/MT Ratio (Expanding EWM),AAPL,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.032,0.037390847202830924,0.06406779582415952,3.42e-06,-3.1899999999999996e-05,-0.00012122,9e-07,,,,,0,-0.01365,-0.009883333333333333,0.010283333333333334,-0.010183333333333334
2018-02-01,1.2321096213311684,1.484598805673966,1.204924285933267,0.1991635869054645,0.1607703563844828,0.1628358717672673,0.2417459407465641,0.1628358717672673,0.1527608296122721,1.36605396621981,172.26,ST/MT Ratio (Expanding EWM),AAPL,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,-0.035300000000000005,0.07514671105123746,0.06311565926805016,-3.740000000000001e-05,-0.00012508,1.802e-05,0.0002596,,,,,0,-0.0172,-0.00965,0.008983333333333331,-0.012183333333333332
2018-05-01,1.4373517385533563,1.0734771834044396,0.7468437645505311,0.3445100829015124,0.2397201315599304,0.3139921420165426,0.3370634002230449,0.3139921420165426,0.1613785492052027,1.4893131512892674,166.68,ST/MT Ratio (Expanding EWM),AAPL,0.0471,-0.031400000000000004,-0.019799999999999998,-0.0149,0.0014000000000000002,0.027700000000000002,0.08486924702687708,0.06588205980952198,-0.0014789400000000002,0.00029501999999999995,-0.00093258,0.00046786000000000006,,,,,0,-0.0026499999999999996,-0.021733333333333337,0.004033333333333333,-0.015083333333333332
