sector,n_obs,n_stocks,log_ievr_coef,log_ievr_tstat,log_ievr_pval,r_squared,adj_r_squared,model_type
Financial,387,14,0.23694870095834455,2.10848317317509,0.03565736747260889,0.06313536774009454,0.02787702136472181,Log Model with Stock Dummies
Healthcare,426,15,0.2709800226200821,2.4644618799392677,0.01413113210692698,0.06111414469751053,0.0267646621864438,Log Model with Stock Dummies
Technology,481,15,0.30329286703564434,2.9128651316674308,0.003753698059176636,0.06157653927330364,0.03130481473373281,Log Model with Stock Dummies
