ticker,n_events,ievr_coef,ievr_tstat,ievr_pvalue,intercept,r_squared,adj_r_squared,f_stat,f_pvalue,aic,bic,nobs,date_range_start,date_range_end,revr_mean,revr_std,ievr_mean,ievr_std,success,error
XEL,6,0.2510894308142515,2.9312351061538493,0.0427610927929382,0.5309948335428016,0.6823415051752499,0.6029268814690625,8.592139247548761,0.0427610927929383,-9.311198560616198,-9.727679622160087,6.0,2020-05-07,2023-07-27,0.9770534405959732,0.1551046688482711,1.7764929635096938,0.510266824543718,True,
PFE,15,0.3226581662155416,2.2327128272470063,0.0453886526872734,0.553807242654069,0.2934945328820394,0.2346190772888761,4.985006568953327,0.0453886526872732,0.7629167271911967,2.0410313864217136,14.0,2020-01-28,2023-08-01,1.250147124752205,0.6995970855061119,1.621826592353048,0.4347134142624521,True,
PEP,16,0.4218558914247672,2.3679896938597773,0.0340635626481059,0.2653307287306382,0.301352293534206,0.2476101622676064,5.607375190226125,0.0340635626481059,-1.9471247414844903,-0.5310243392800702,15.0,2020-02-13,2023-10-10,1.101411557873426,0.2457660384744621,2.053217846613392,0.4204947694227625,True,
TXN,15,1.3361445571867543,4.002774615187891,0.0015042006733506,-0.7199956472998515,0.552067109641813,0.5176107334604141,16.02220461999257,0.0015042006733506,0.762701686306297,2.178802088510717,15.0,2020-01-22,2023-07-25,1.3179641541100335,0.3359489338350785,1.5252539782827093,0.186816726243158,True,
ISRG,15,3.3832657016561525,3.6767498064949566,0.0027911108219633,-3.139241720804513,0.5097759932104732,0.4720664542266635,13.518489139560703,0.0027911108219633,15.693310301996142,17.109410704200563,15.0,2020-01-23,2023-07-20,1.4988980610616214,0.5282325431607974,1.3709061572065424,0.1114753224475299,True,
NEM,15,-1.652128963736994,-2.5900554983717146,0.0236554877383046,3.469599500191413,0.3585764668468248,0.305124505750727,6.708387484645562,0.0236554877383045,9.672824333355784,10.950938992586302,14.0,2020-02-20,2023-07-20,1.246391410874924,0.371428695733436,1.4064661250055837,0.2883978017482836,True,
AMGN,15,1.631158178455213,2.9491687646616382,0.0112898710961695,-1.5349515067210764,0.4008552948045165,0.3547672405587101,8.69759640245586,0.0112898710961695,27.41015262515946,28.82625302736388,15.0,2020-01-30,2023-08-03,1.4404741493075357,0.706114685536059,1.8241184057615345,0.2740772437483044,True,
REGN,12,1.0121320453154548,2.5217016790330047,0.0302988368956922,-0.1483012068901613,0.3887149203421077,0.3275864123763184,6.358979358037877,0.0302988368956921,-1.832222539002121,-0.8624092394261202,12.0,2020-02-06,2023-08-03,1.1738981060264495,0.2535114746040497,1.3063506081407754,0.1561622477561715,True,
