,ievr_coef,ievr_tstat,ievr_pvalue,r_squared,adj_r_squared,n_events
ievr_coef,1.0,0.6994155571266221,-0.29640434408113353,0.24940194143884328,0.3298445709103316,0.09303797727202959
ievr_tstat,0.6994155571266221,1.0,-0.48924826954501877,0.5348103356745605,0.5899195962602765,-0.11643424077458404
ievr_pvalue,-0.29640434408113353,-0.48924826954501877,1.0,-0.6704711773105129,-0.745684321904265,0.10806832774357715
r_squared,0.24940194143884328,0.5348103356745605,-0.6704711773105129,1.0,0.9053733263973168,-0.5953693162707168
adj_r_squared,0.3298445709103316,0.5899195962602765,-0.745684321904265,0.9053733263973168,1.0,-0.25255368482090423
n_events,0.09303797727202959,-0.11643424077458404,0.10806832774357715,-0.5953693162707168,-0.25255368482090423,1.0
