,ievr_coef,ievr_tstat,ievr_pvalue,r_squared,adj_r_squared,n_events
count,113.0,113.0,113.0,113.0,113.0,113.0
mean,0.27613722112513994,0.5052533844106328,0.4614277181512245,0.11256897371982405,0.024709737754513288,14.044247787610619
std,0.9298923483368147,1.147957543141532,0.2873871243714708,0.15719924639982025,0.15523971852661814,2.8827980595835743
min,-4.747908191447167,-2.5900554983717146,0.0015042006733506,1.4127058745039278e-08,-0.402899674186437,3.0
25%,-0.0961698777144034,-0.270428346562428,0.2202350709726828,0.0153739622713464,-0.0645023607080155,15.0
50%,0.2370024030736906,0.5030394693270779,0.4358666384480004,0.0521281234958256,-0.0259133294463767,15.0
75%,0.5399708386024776,1.0728343912891327,0.6972953983762193,0.1371979751274801,0.0529630661400932,15.0
max,3.3832657016561525,4.002774615187891,0.9996645761333948,0.6823415051752499,0.6029268814690625,16.0
