earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,spx_ievr,term_ratio,skew,kurt,iv_ratio,smirk,underlying_price,methodology,ticker
2022-01-27,1.2208779162743641,1.1142600851634517,0.912671177281781,0.24703238962248114,0.20233996071968127,0.27035279944461416,0.3012433333333333,0.27035279944461416,0.20261648053162462,1.1492695743907115,1.1062493050544293,0.8596031351776215,-0.09469059129563563,0.056244605792850504,1.5495990086277442,0.07635434504879175,179.29,ST/MT Ratio (Expanding EWM),AAPL
2022-04-28,0.9461248898096782,1.1544536711334845,1.220191629633286,0.1391136362124796,0.1470351723232475,0.2264664286989566,0.261445,0.2264664286989566,0.1581289138814031,1.3443450089929698,1.0562709327239002,0.9880827094045365,-0.3078892022208246,0.08753119230691161,0.9934280027880183,0.19975477743681444,178.96,ST/MT Ratio (Expanding EWM),AAPL
2022-07-28,0.9156262263000668,1.1187303946203777,1.2218199550061273,0.149253668897925,0.1630072016406091,0.33619650615430696,0.37611325000000007,0.33619650615430696,0.1731794577276406,1.3444082477631085,1.0191029554034818,0.9203804701593855,-0.21760100630582954,0.048294597041956,1.0806244037716433,0.13232287022684935,137.44,ST/MT Ratio (Expanding EWM),AAPL
2022-10-27,1.3904284439299963,1.0127562419764686,0.7283771030416706,0.3177172188379719,0.22850310652445768,0.40961041048773783,0.4148355,0.40961041048773783,0.16438533071293385,1.4525534846658592,0.9635920474827844,0.9644424671246824,-0.1982612552672432,0.017626968285650902,1.472227180315451,0.09594037656597801,151.76,ST/MT Ratio (Expanding EWM),AAPL
2023-02-02,1.1037049950868782,1.0073507061002207,0.9126992362854415,0.2255638507155496,0.20436969273460098,0.41200153947292445,0.4150300417024284,0.41200153947292445,0.21150669713875495,1.2018863018555725,1.0157101489414082,1.0870914036412345,-0.10809946848237044,0.0046090047049048045,1.1011699424628953,0.03157138965196266,125.07,ST/MT Ratio (Expanding EWM),AAPL
2023-05-04,1.166535127525469,1.204897060850289,1.0328853648892646,0.16129973442227966,0.13827250514473513,0.23272413710803086,0.280408628790386,0.23272413710803086,0.12202868474000234,1.427676926009871,1.0920678065292928,0.9744707302309904,-0.1736769379834149,0.03355333999118465,0.9020513405513859,0.026699239092447327,165.63,ST/MT Ratio (Expanding EWM),AAPL
2023-08-03,1.4705352758627939,1.2702510813129284,0.8638018428817666,0.2567065179116162,0.17456671874872304,0.16483083513180646,0.2093765465598902,0.16483083513180646,0.11139747991542555,1.2612448795277877,1.0915986114271548,0.9992882306022067,-0.16090240150769783,0.046943724623422,0.9450218173627445,0.0904173191270354,192.46,ST/MT Ratio (Expanding EWM),AAPL
2022-01-25,1.1834205629996677,1.1520209875074785,0.9734671033494641,0.2254909014990927,0.19054164559007755,0.20845844182021991,0.24014850000000001,0.20845844182021991,0.1620121642847357,1.3188963332336565,1.1173825537310043,1.0406180300826693,-0.16649244120748527,0.11223016974973293,1.0575751198070509,0.11447276567562242,342.45,ST/MT Ratio (Expanding EWM),MSFT
2022-04-26,1.2942421906044634,1.1396056360555535,0.8805196155159427,0.27433209007768844,0.2119634888038724,0.2403179292922663,0.2738676666666667,0.2403179292922663,0.16867492005650872,1.3244009383372934,1.0627182575632341,0.9194583814734794,-0.22886843945115842,0.058800981501026806,1.3085172142178456,0.1345367601187718,310.7,ST/MT Ratio (Expanding EWM),MSFT
2022-07-26,1.2976508061456584,1.1094112999518926,0.8549382427828305,0.25948165935238626,0.19996262332168582,0.30089516846860614,0.33381650000000007,0.30089516846860614,0.1603977698506515,1.369419539534122,1.0195881672996943,0.9290593483942904,-0.1817073042509121,0.06146331352147812,0.8343867142411335,0.0981094006435331,264.89,ST/MT Ratio (Expanding EWM),MSFT
2022-10-25,1.5677021737980847,1.034398283280987,0.6598181086749034,0.3822908205492998,0.2438542389866825,0.36340740899884805,0.37590799999999996,0.36340740899884805,0.13844489950675426,1.3767291097840528,0.9618506944046483,0.9278377031523782,-0.17799709559645793,0.04448903603413496,1.4051172188816126,0.0751429407390249,237.45,ST/MT Ratio (Expanding EWM),MSFT
2023-01-24,0.9169934581841814,1.1537076705834308,1.258141658794369,0.18937381841830123,0.20651599717330243,0.2949924046425836,0.34033499999999994,0.2949924046425836,0.1893589596598705,1.248619662363456,1.086481503301743,0.8396307574281436,-0.14991632692584636,0.020227200121826872,0.9198174180611782,0.06207875362919953,238.73,ST/MT Ratio (Expanding EWM),MSFT
2023-04-25,1.4118108800693647,1.1094055361449857,0.7858032203934274,0.40416326432091904,0.2862729491793276,0.2837578232157471,0.3148025,0.2837578232157471,0.2272381938335728,1.5634376085652024,1.0411409932878088,0.8400966563199873,-0.16718347340900702,0.05296216787566723,1.0735937764135042,0.09341015395860662,276.38,ST/MT Ratio (Expanding EWM),MSFT
2023-07-25,1.230784108142365,1.2558522000320915,1.0203675784598503,0.28188493743760307,0.22902874319936978,0.21499690276167352,0.27000433333333335,0.21499690276167352,0.2039926944746232,1.2003872573199732,1.1056460322085095,0.9660427083076771,-0.11702016454924875,0.09272276230613724,0.9627348707060541,0.10610948890204805,328.6,ST/MT Ratio (Expanding EWM),MSFT
2022-02-01,1.4703170487109194,1.3157330347612055,0.8948634826174101,0.3516949794715757,0.239196695556186,0.20220371100851012,0.2660461023252048,0.20220371100851012,0.14792252892402344,1.3881614378612135,1.141347397990183,0.9823705485775029,-0.16071699775226295,0.08371681550331123,1.2409640257261998,0.08250103465072772,2899.83,ST/MT Ratio (Expanding EWM),GOOGL
