year,n_events,ievr_coef,ievr_tstat,ievr_pvalue,r_squared,adj_r_squared
2020,521,0.11913350552675789,2.084557650709889,0.0376778306046018,0.009648995607220545,0.0074284776601516445
2021,488,0.015558037518389457,0.3381061271874347,0.7354478409131169,0.00026516343592530855,-0.00205440695053416
2022,505,0.10549300042292081,1.6861404291498505,0.0924874481560447,0.006508217126491078,0.00421906555304985
2023,421,0.13727338328921684,1.793442389866152,0.07378045885612801,0.009263488924876273,0.006383440927564821
