ticker,n_observations,ievr_coefficient,ievr_tstat,ievr_pvalue,ievr_std_error,intercept,r_squared,adj_r_squared,f_statistic,f_pvalue,aic,bic,mean_revr,mean_ievr,std_revr,std_ievr
AAPL,64,0.9870146898072394,3.7409065340807133,0.0004028500451458178,0.2638437183113925,0.06609035426888815,0.18415021458527536,0.17099134707858632,13.994381696727737,0.00040285004514582296,65.24498560901162,69.56275177573096,1.3609283371803407,1.3118730615491954,0.43568952369389286,0.1894260117610299
ORCL,59,0.6850155181017216,3.309341006602598,0.0016248737915703058,0.2069945396183167,0.448058515025055,0.1611693569106908,0.14645302983894848,10.951737897981497,0.001624873791570303,119.36518055191533,123.52025543972677,1.536914478592258,1.5895347401538908,0.7083286694521632,0.4151219011821054
AMGN,43,0.6630142005157567,2.332643013664378,0.024655003165040126,0.28423303378694853,0.22819655951263354,0.11716365391391426,0.09563106010693656,5.441223429197231,0.024655003165040167,71.51931763403607,75.0417178654232,1.317706725353301,1.6432682210926117,0.5713477571755889,0.2949674884109519
MRK,47,0.6047795951275371,2.4095818203829813,0.02012301822607106,0.2509894414091375,0.1695489466791907,0.11427931517743173,0.0945966332924858,5.806084549120143,0.02012301822607122,82.56157246818162,86.26186767160173,1.2071270761864443,1.7156301863796295,0.5994473058293449,0.3350716600588793
JNJ,58,0.44785288049793665,2.675697949346222,0.009760772244194643,0.16737796603961394,0.46959704639893857,0.11335389673016805,0.09752093060034972,7.159359516135592,0.009760772244194544,53.87212818740693,57.993014208499766,1.2450570681987063,1.7315061609910547,0.39845693938930105,0.2995465003737665
SBUX,41,0.7252746509077748,2.046656094339266,0.04747374940071826,0.35437055248987465,0.32163674644298373,0.0969881324594759,0.07383398200971891,4.188801168496066,0.04747374940071815,100.23891810281773,103.66606223622635,1.509157001985756,1.6373387020440284,0.8336537818076759,0.35796661454710105
BA,53,0.7157709473586249,2.280066050808003,0.026816798577695027,0.31392553172087806,0.26990274817740467,0.09250571784411399,0.07471171231164575,5.198701196047216,0.02681679857769482,74.75723459256467,78.69781841966892,1.2340043889273011,1.3469415660242634,0.4998939275836373,0.21241641913763737
PG,41,0.39346870073191487,1.9224910322655289,0.06186983957225317,0.20466607860752306,0.6403304306157805,0.0865648822592825,0.06314346898387957,3.6959717691413707,0.06186983957225345,30.709720775412947,34.136864908821565,1.3999778764287898,1.9306426264654424,0.3550159862173301,0.26546580665838493
MSFT,60,0.7089198412279829,2.0492266762429208,0.04497236701819432,0.345945057931671,0.3683228417691317,0.06751407085267314,0.0514367272466848,4.199329970625611,0.04497236701819422,95.9571451263704,100.1458342508146,1.4003032189806588,1.4557081311533644,0.5437450376158564,0.19929450413944888
JPM,77,0.24084814807316826,2.0737699485583705,0.04153410088267805,0.11614024411945956,0.7544601314463603,0.054230687288725044,0.041620429785907964,4.3005217995437794,0.041534100882678386,-13.48203502891846,-8.794424185211092,1.1088771756834992,1.4715373444742823,0.2235670515861871,0.21616582876819657
ABBV,35,-0.4662162893312966,-1.356515795426485,0.1841436036045442,0.34368659097310356,2.115819585223804,0.05281653178980783,0.024114002450105088,1.8401351032415585,0.184143603604543,67.53900003901973,70.64969616199856,1.3117418642933054,1.7246881744175082,0.6252438595617184,0.3082101463553028
NKE,62,1.1922081007169807,1.7622222452303058,0.0831251713287414,0.6765367444111287,0.09238349157257195,0.04921014526525758,0.033363647686345255,3.1054272415845143,0.08312517132874263,210.17082665997955,214.42509543006975,1.728665193214016,1.3724799392466829,1.3192861449899833,0.24547894981412288
QCOM,49,1.0867041216062474,1.53678104401322,0.13105240289233425,0.7071300923704648,0.06364630443063334,0.04784470894856174,0.02758608573470145,2.361695977238362,0.13105240289233439,106.87789860082867,110.66153919704992,1.5367921410126895,1.3556089530649909,0.7158097599180486,0.1440798540478528
NVDA,83,0.8985991465748022,1.9972194945528428,0.049159053980175754,0.44992508285925253,0.3297528069257408,0.04693420411534721,0.035167959721709496,3.9888857094219285,0.04915905398017527,152.68459334021475,157.52227455580794,1.3735480564059412,1.1615805038974756,0.6106985194179858,0.14723314674643895
AXP,45,0.3505388881191268,1.4168559635759708,0.16372974064784782,0.24740615639885485,0.7462750771543475,0.04460327005373943,0.022384741450337975,2.007480821520788,0.16372974064784798,59.20572026952347,62.819045249064104,1.3044215518453262,1.5922526532956274,0.46232327043867755,0.27854341688662826
DHR,63,0.27599852307821704,1.545803722826167,0.12732462833074581,0.17854693904709557,0.7875349224850212,0.037695656293340596,0.021920175248969165,2.389509149503246,0.1273246283307454,54.08615053204001,58.372419984823075,1.2004403178985559,1.4960420469225453,0.3700130606363252,0.2602890811782205
INTC,66,0.33421218115517387,1.398239333278374,0.1668680307785154,0.23902358716484193,0.9864285792903668,0.029642499618130924,0.014480663674664274,1.95507323312676,0.16686803077851375,127.64663389443734,132.02594337849018,1.4659899607756202,1.4349009656909992,0.6315725146604072,0.3253556541501963
WMT,87,0.21564807964076535,1.4793988350561942,0.14273046575453144,0.14576737153681352,0.958128382426885,0.025102139364554965,0.013632752768843903,2.18862091316564,0.14273046575453024,126.7926913494693,131.72450758677846,1.2951680509263057,1.5629152323585416,0.49920336887160655,0.3667644898617568
UNH,76,0.1838596839882537,1.2732927625713837,0.2068995401369639,0.14439702273729535,0.9294899859745124,0.021439396133042132,0.008215604188893999,1.6212744592166488,0.20689954013696596,34.20252291414013,38.86398959471279,1.1983354290591768,1.462231617355766,0.3003584056508591,0.2391991077900448
BAC,83,0.14171957274048955,1.131323278692963,0.2612574517440456,0.12526885586958006,0.8815182039976237,0.015555348022314397,0.003401710343577502,1.2798923609125643,0.261257451744051,-0.22448845468719014,4.613192760906006,1.0783611423159838,1.388960850727445,0.23919222117262331,0.21050241538294703
ADBE,79,0.45894211221026054,1.0957001898843166,0.27662528359715555,0.4188573812866779,0.7929583427550772,0.015352305954154821,0.0025646735639491824,1.2005589061125435,0.27662528359715055,133.10314637237622,137.84204207731025,1.3629547732537615,1.2419789235587628,0.5555899190265138,0.1499972356424708
CRM,52,-0.29265341043053184,-0.7442084707606762,0.4602337564217671,0.39324117089315397,1.8327713860674482,0.010955570922051794,-0.008825317659507226,0.5538462479519404,0.4602337564217688,94.79026155431481,98.69274899147767,1.4428892813429666,1.3322315436232717,0.5881706256312164,0.21036197957710553
ABT,74,0.08656052383081242,0.8873581399730985,0.37784071819810294,0.09754857698542847,1.0360946227985195,0.010817867106615364,-0.0029207736280150165,0.7874044685765246,0.3778407181981014,57.21740821994973,61.82553840635807,1.1687445118243847,1.5324524755087863,0.35094694465460957,0.4216891344794286
USB,81,0.07165386546174926,0.8634593513815144,0.39049890598346726,0.08298464235415921,1.0034365835895733,0.009349260727597897,-0.003190622048002245,0.7455620514882003,0.3904989059834598,6.190756295307864,10.979654604652742,1.1212719731326373,1.6445084823228016,0.24795513250550819,0.33459705492473546
TMO,56,0.15112456883107322,0.7073771753785659,0.48237390750694287,0.2136407196771597,1.0197837608994549,0.00918126526062657,-0.009167229827139689,0.5003824682465737,0.48237390750693876,44.949477868937905,49.000181250408204,1.2329918503275086,1.4108102413604082,0.3535617575068339,0.22417205691452946
AMD,54,-0.5920447127939878,-0.6270544390923306,0.5333671945619756,0.944167963551905,2.122145251975647,0.007504738975218972,-0.01158170835218053,0.39319726958539397,0.5333671945619771,116.38062052453385,120.3585886176624,1.4528551672134418,1.1304721928917838,0.6940129595570524,0.10155022008873646
MMM,44,0.2106842337245067,0.5232957873823684,0.6035186125232959,0.40261022313669287,1.0916344995196796,0.006477729274917854,-0.017177562885203113,0.2738384810921199,0.6035186125233045,89.97616660829847,93.54454587613499,1.4287307631305866,1.60000707054187,0.6523379778606387,0.2492022865254483
HON,70,0.11795138651649179,0.651467000389832,0.516940797754321,0.18105504414791654,1.060072185854063,0.006202600171967498,-0.00841206747256229,0.4244092525969289,0.5169407977543177,100.19783331646092,104.69482380055963,1.2467811509061175,1.5829314988675403,0.48601984356171296,0.324517292818328
SCHW,53,0.04927405018716826,0.5318353784876984,0.5971492259687137,0.09264906431625815,1.039981899588521,0.005515467179469824,-0.013984229542501225,0.28284886981115426,0.597149225968713,-2.329425268168947,1.6111585589352968,1.110701450759522,1.4352291094880858,0.2307637940728133,0.34780879641546936
TXN,38,0.112815671998636,0.44315827019796183,0.6603030476055649,0.2545719657860395,1.1546469955309426,0.00542565864996003,-0.02220140638754109,0.19638925244484717,0.6603030476055698,34.604443525409266,37.87961584486204,1.3328417275674038,1.579521079647657,0.36780802512748034,0.2401474611728135
KO,68,-0.0675839994696938,-0.570145578802178,0.570514807609789,0.11853814531313459,1.4022169836619076,0.004901103017683428,-0.010176152997200205,0.32506598102766754,0.5705148076097952,97.38089356759568,101.81990897794789,1.2853463343710907,1.7292650658122726,0.48556107719400216,0.5029755717922311
GS,66,-0.17348781770711436,-0.5461622392759559,0.5868533562075204,0.3176488692025032,1.378253421460571,0.0046392085513374814,-0.010913303815047959,0.2982931916109233,0.5868533562075208,65.85359331279966,70.23290279685251,1.1369930183207415,1.3906475182432088,0.3904747519567555,0.15330132966458995
MCD,88,0.09582296416379883,0.6231900650729679,0.5348088693548327,0.15376202146704496,1.0913365329482736,0.004495580548977252,-0.00708005223533692,0.3883658572055809,0.5348088693548672,123.58440408074867,128.53907770970508,1.2482328918001044,1.6373565587434122,0.4811796981124831,0.3366902855747402
GOOGL,59,0.21212907501732445,0.4444213533743895,0.6584208381740633,0.47731521765702073,1.3241221855867913,0.0034531282596628188,-0.014030150191921997,0.19751033933511594,0.6584208381740659,131.1895117945133,135.34458668232475,1.6164167907375717,1.377909205170999,0.7183599259644348,0.19899779013689414
CAT,62,0.15059027651639323,0.4529580371045896,0.6522127295061074,0.33245966332554866,1.1354535792352858,0.0034078631457470365,-0.013202005801823846,0.20517098337765372,0.6522127295060951,77.94982560558304,82.20409437567322,1.3356271555442063,1.32925963707311,0.4436444303801731,0.1719804875651614
MS,63,-0.07656596839439034,-0.44166066158976125,0.6602965190053178,0.17335926663423112,1.261966018661812,0.0031875796314170257,-0.01315360758774009,0.19506413999590888,0.6602965190053146,61.7315008147241,66.01777026750716,1.1515148913133058,1.4425616192767734,0.3862943973670229,0.2848479846673784
META,45,-0.3439604828366692,-0.364902214133137,0.7169730418118184,0.942610018560131,2.0759046710819726,0.0030870366455043596,-0.020096985758088604,0.1331536258792586,0.7169730418118259,127.86851996172759,131.48184494126824,1.6506799715473246,1.2362603285929428,0.9706014858753043,0.15678456102614005
HD,56,0.08067702724615625,0.3970773552839852,0.6928755220374754,0.20317710434143735,1.0956801614035796,0.002911322160626062,-0.0155532829845475,0.15767042607932646,0.6928755220374723,46.437698993495374,50.48840237496567,1.2206920612686323,1.5495352782846699,0.35716283898988654,0.238869946539385
WFC,61,-0.034795733505389136,-0.39155235900075114,0.6967996231960353,0.0888661061682491,1.181560150432593,0.0025917948026261683,-0.014313429014278345,0.15331324983905242,0.6967996231960378,12.702867982541477,16.924615710888098,1.1281099218473327,1.5361144370467712,0.26235904329281207,0.3838577822918979
AMZN,42,0.33265142014533033,0.31886473031751356,0.7514882611214603,1.043236797666799,1.2071099983963827,0.002535423195163644,-0.022401191224957095,0.10167471624046152,0.7514882611214622,82.83290589037266,86.3082451269394,1.6359362640641888,1.2891159925920594,0.6267964318774507,0.09487731007066023
GE,58,0.042785194504248406,0.3597139273560378,0.7204140868451608,0.11894227954621411,1.1357545516508516,0.0023052824921179216,-0.015510694606237108,0.12939410953389704,0.7204140868451707,47.19682378841654,51.317709809509374,1.2034044030745807,1.581150961391843,0.3546222012562039,0.39795547736442727
PEP,39,0.04578833493481431,0.2596802946616599,0.7965499300803275,0.17632579705161067,1.0941899967231725,0.0018192210364106343,-0.025158637854497234,0.06743385543556965,0.796549930080325,22.513239833124217,25.84036312538351,1.1802017940557117,1.8784652784380096,0.31108436843269727,0.28977844169405004
C,63,-0.02656010478611968,-0.27873568247269276,0.7813904451795377,0.0952877814225372,1.1422519541891594,0.0012720450974607056,-0.015100544327171006,0.0776935806835134,0.7813904451795406,16.06587955246205,20.352149005245117,1.1013318349060557,1.5406610633738422,0.2685975849228054,0.3606812561889265
NFLX,71,-0.43995560655081395,-0.2676343752034729,0.7897791646978591,1.643868080160971,2.386583616231227,0.0010370127460421763,-0.013440711706913744,0.0716281587905548,0.7897791646978507,274.14219967125575,278.66755942533837,1.9128461350996577,1.0767847348181294,1.6340840226055915,0.11960726904183615
TGT,67,-0.06765030216785993,-0.25642168753680966,0.7984350968153273,0.2638244167944985,1.5080703697594937,0.0010105482490468942,-0.014358520239429184,0.06575208183922274,0.7984350968153322,121.24480040930376,125.6541856480857,1.412794425819739,1.4083594734484282,0.5851114905105297,0.2749460046335132
TSLA,47,0.17642683273528215,0.20627680733564333,0.837505152949261,0.85529165888344,1.1246529729604116,0.0009446650140821911,-0.021256564652271548,0.042550121244581435,0.8375051529492663,59.189080333378115,62.889375536798234,1.3289076534996873,1.157730246428823,0.4401696760751106,0.07668217068243814
DIS,44,0.05574775859364826,0.19054155829779085,0.8498028153673036,0.2925753263050468,1.201813597271519,0.0008636840107874022,-0.02292527589371751,0.03630608543855809,0.8498028153672775,81.16565716567733,84.73403643351385,1.2835721837544147,1.4665806939224788,0.5885288810999465,0.3102542998125584
PFE,74,0.022166435431076027,0.2044570653780128,0.8385731961871771,0.10841608916812612,1.1752146600319489,0.0005802560460896888,-0.013300573731047871,0.0418026915829886,0.8385731961871876,85.57148665869335,90.17961684510169,1.2121056082085526,1.6642706623404728,0.42287155382560343,0.4595390780339735
BLK,31,0.015120336143990401,0.08935959628364591,0.9294104282793766,0.16920774905915326,1.0632664952999724,0.0002752737706581687,-0.034197992651043396,0.007985137447981228,0.9294104282793535,-15.398868591168934,-12.530894182198642,1.0865910782315717,1.5425968516493467,0.17991136910164046,0.1974147409129574
BMY,79,-0.009801803002766203,-0.08827322212707299,0.9298887014249548,0.11103937033878856,1.2276926350632729,0.00010118666599756576,-0.012884512208469978,0.007792161744679421,0.9298887014250612,59.72801246955149,64.46690817448552,1.2126692673213755,1.5327147196956432,0.3465218217359015,0.355620069421311
