earnings_date,revr,ievr,ratio,vol_t_minus_3,vol_t_plus_4,kink_tte,ticker
2000-01-19,0.901629740623056,1.0420601047124844,1.1557516991313823,0.9176563267108987,0.8273862358334539,33.0,AAPL
2000-04-19,0.8636185420551592,1.0202611482841577,1.18137939217497,0.9250866917423343,0.7989220199971452,33.0,AAPL
2000-07-18,0.8628360837207316,1.0511095502126286,1.2182030515923976,1.1872173055018558,1.0243739304047006,33.0,AAPL
2000-10-18,0.8260158541190246,1.0897187341483858,1.3192467538175885,1.7216783363502046,1.4221336015185355,33.0,AAPL
2001-01-17,1.029979863541553,1.0464131073100489,1.0159549175184754,0.764340379734844,0.7872552000185934,33.0,AAPL
2001-04-18,1.3958758441840289,1.0564697805168215,0.7568508223124886,0.6955597338129403,0.9709150306165565,33.0,AAPL
2001-07-17,1.4083642387970703,1.0470523402391774,0.7434528024749469,0.7164106290281246,1.008967110217325,33.0,AAPL
2001-10-17,1.0924975915116761,inf,inf,0.5190385667654683,0.5670483840929464,33.0,AAPL
2002-01-16,1.3376858882456149,inf,inf,0.4321845862255425,0.5781272221111784,33.0,AAPL
2002-04-17,1.0359333315893087,1.213085122755575,1.1710069420147757,0.3257337003333353,0.33743839739722553,33.0,AAPL
2002-07-16,1.165447650427126,inf,inf,0.6780634800344534,0.7902474896465942,33.0,AAPL
2003-01-15,1.0914100926020347,inf,inf,0.26218177956213423,0.2861478403104752,33.0,AAPL
2003-04-16,0.827065123715962,inf,inf,0.46995385910547527,0.3886824466218637,33.0,AAPL
2003-07-16,1.0929023815738736,inf,inf,0.3241020734416279,0.3542119279373856,33.0,AAPL
2003-10-15,1.156026726887991,inf,inf,0.40685273637810254,0.47033263716060053,33.0,AAPL
2004-01-14,1.2378943795501642,inf,inf,0.32884270035103275,0.40707253052064224,33.0,AAPL
2004-04-14,1.6106809290784725,inf,inf,0.35873208129304596,0.5778029219873374,33.0,AAPL
2004-07-14,1.8107329543618458,inf,inf,0.32672184464923365,0.5916060110162589,33.0,AAPL
2004-10-13,2.262319409381266,inf,inf,0.27969459596916035,0.6327585131600827,33.0,AAPL
2005-04-13,1.0256215752744535,inf,inf,0.6951299908343058,0.7129403162199972,33.0,AAPL
2005-07-13,1.1564913905364775,inf,inf,0.318820467662355,0.368713125978327,33.0,AAPL
2006-01-18,1.2194915535354938,1.0211394386532529,0.8373485127410784,0.36565600373120904,0.4459144080497524,33.0,AAPL
2006-04-19,0.8644898837435369,1.0310278354174693,1.1926430312322063,0.5243875034214637,0.45332769186938465,33.0,AAPL
2006-07-19,1.5114019232774065,1.1101183896434574,0.7344958164643698,0.4151471782260273,0.6274542436140059,33.0,AAPL
2006-10-18,1.3505863890885101,1.1470256757482906,0.8492797536056916,0.24805108203802273,0.3350144151992309,33.0,AAPL
2007-01-17,1.0526339803625546,1.0527721404243175,1.0001312517592442,0.48685959946529983,0.5124849580628776,33.0,AAPL
2007-04-25,1.0923786620186826,inf,inf,0.22773183690922844,0.24876939930195982,26.0,AAPL
2007-07-25,1.7457471829797198,inf,inf,0.2656291171038699,0.46372128290147097,26.0,AAPL
2008-01-22,1.18109406641979,inf,inf,0.5129903299622812,0.6058898348491806,26.0,AAPL
2008-04-23,1.0086455344171106,inf,inf,0.4255462896918115,0.4292253647854158,26.0,AAPL
2008-10-21,0.8722305758365937,inf,inf,1.0858595693187023,0.9471199174245274,26.0,AAPL
2009-01-21,1.3717010045573663,inf,inf,0.4089269303782198,0.5609254811903643,26.0,AAPL
2009-04-22,0.8734616934427701,inf,inf,0.38042967792516486,0.33229075071640213,26.0,AAPL
2009-07-21,0.928865440796692,inf,inf,0.2824157175727207,0.2623261999910993,26.0,AAPL
2010-01-25,1.1003732928184056,inf,inf,0.37045384946608717,0.40763752217425225,23.0,AAPL
2010-04-20,2.1815993831428426,inf,inf,0.1335616424875134,0.2913779968623041,26.0,AAPL
