ticker,n_observations,ievr_coefficient,ievr_tstat,ievr_pvalue,ievr_std_error,intercept,r_squared,adj_r_squared,f_statistic,f_pvalue,aic,bic,mean_revr,mean_ievr,std_revr,std_ievr
AAPL,64,0.9870146898072394,3.7409065340807133,0.0004028500451458178,0.2638437183113925,0.06609035426888815,0.18415021458527536,0.17099134707858632,13.994381696727737,0.00040285004514582296,65.24498560901162,69.56275177573096,1.3609283371803407,1.3118730615491954,0.43568952369389286,0.1894260117610299
ORCL,59,0.6850155181017216,3.309341006602598,0.0016248737915703058,0.2069945396183167,0.448058515025055,0.1611693569106908,0.14645302983894848,10.951737897981497,0.001624873791570303,119.36518055191533,123.52025543972677,1.536914478592258,1.5895347401538908,0.7083286694521632,0.4151219011821054
AMGN,43,0.6630142005157567,2.332643013664378,0.024655003165040126,0.28423303378694853,0.22819655951263354,0.11716365391391426,0.09563106010693656,5.441223429197231,0.024655003165040167,71.51931763403607,75.0417178654232,1.317706725353301,1.6432682210926117,0.5713477571755889,0.2949674884109519
MRK,47,0.6047795951275371,2.4095818203829813,0.02012301822607106,0.2509894414091375,0.1695489466791907,0.11427931517743173,0.0945966332924858,5.806084549120143,0.02012301822607122,82.56157246818162,86.26186767160173,1.2071270761864443,1.7156301863796295,0.5994473058293449,0.3350716600588793
JNJ,58,0.44785288049793665,2.675697949346222,0.009760772244194643,0.16737796603961394,0.46959704639893857,0.11335389673016805,0.09752093060034972,7.159359516135592,0.009760772244194544,53.87212818740693,57.993014208499766,1.2450570681987063,1.7315061609910547,0.39845693938930105,0.2995465003737665
SBUX,41,0.7252746509077748,2.046656094339266,0.04747374940071826,0.35437055248987465,0.32163674644298373,0.0969881324594759,0.07383398200971891,4.188801168496066,0.04747374940071815,100.23891810281773,103.66606223622635,1.509157001985756,1.6373387020440284,0.8336537818076759,0.35796661454710105
BA,53,0.7157709473586249,2.280066050808003,0.026816798577695027,0.31392553172087806,0.26990274817740467,0.09250571784411399,0.07471171231164575,5.198701196047216,0.02681679857769482,74.75723459256467,78.69781841966892,1.2340043889273011,1.3469415660242634,0.4998939275836373,0.21241641913763737
MSFT,60,0.7089198412279829,2.0492266762429208,0.04497236701819432,0.345945057931671,0.3683228417691317,0.06751407085267314,0.0514367272466848,4.199329970625611,0.04497236701819422,95.9571451263704,100.1458342508146,1.4003032189806588,1.4557081311533644,0.5437450376158564,0.19929450413944888
JPM,77,0.24084814807316826,2.0737699485583705,0.04153410088267805,0.11614024411945956,0.7544601314463603,0.054230687288725044,0.041620429785907964,4.3005217995437794,0.041534100882678386,-13.48203502891846,-8.794424185211092,1.1088771756834992,1.4715373444742823,0.2235670515861871,0.21616582876819657
NVDA,83,0.8985991465748022,1.9972194945528428,0.049159053980175754,0.44992508285925253,0.3297528069257408,0.04693420411534721,0.035167959721709496,3.9888857094219285,0.04915905398017527,152.68459334021475,157.52227455580794,1.3735480564059412,1.1615805038974756,0.6106985194179858,0.14723314674643895
