Model,IEVR Coefficient,IEVR t-stat,IEVR p-value,R-squared,Adj R-squared,N
Model 1,0.024,0.905,0.365,0.000,-0.000,2880.0
Model 2,0.182,6.077,0.000,0.102,0.086,2880.0
Model 3,-0.098,-3.283,0.001,0.036,0.028,2880.0
Model 4,0.117,3.056,0.002,0.119,0.096,2880.0
Model 5,-0.126,-4.088,0.000,0.054,0.053,2880.0
Model 6,0.027,1.004,0.315,0.000,0.000,2880.0
Model 7,N/A,N/A,N/A,0.072,0.070,2880.0
