ticker,r_squared,ievr_coefficient,ievr_pvalue,n_observations
AAPL,0.18415021458527536,0.9870146898072394,0.0004028500451458178,64
ORCL,0.1611693569106908,0.6850155181017216,0.0016248737915703058,59
AMGN,0.11716365391391426,0.6630142005157567,0.024655003165040126,43
MRK,0.11427931517743173,0.6047795951275371,0.02012301822607106,47
JNJ,0.11335389673016805,0.44785288049793665,0.009760772244194643,58
SBUX,0.0969881324594759,0.7252746509077748,0.04747374940071826,41
BA,0.09250571784411399,0.7157709473586249,0.026816798577695027,53
PG,0.0865648822592825,0.39346870073191487,0.06186983957225317,41
MSFT,0.06751407085267314,0.7089198412279829,0.04497236701819432,60
JPM,0.054230687288725044,0.24084814807316826,0.04153410088267805,77
ABBV,0.05281653178980783,-0.4662162893312966,0.1841436036045442,35
NKE,0.04921014526525758,1.1922081007169807,0.0831251713287414,62
QCOM,0.04784470894856174,1.0867041216062474,0.13105240289233425,49
NVDA,0.04693420411534721,0.8985991465748022,0.049159053980175754,83
AXP,0.04460327005373943,0.3505388881191268,0.16372974064784782,45
DHR,0.037695656293340596,0.27599852307821704,0.12732462833074581,63
INTC,0.029642499618130924,0.33421218115517387,0.1668680307785154,66
WMT,0.025102139364554965,0.21564807964076535,0.14273046575453144,87
UNH,0.021439396133042132,0.1838596839882537,0.2068995401369639,76
BAC,0.015555348022314397,0.14171957274048955,0.2612574517440456,83
ADBE,0.015352305954154821,0.45894211221026054,0.27662528359715555,79
CRM,0.010955570922051794,-0.29265341043053184,0.4602337564217671,52
ABT,0.010817867106615364,0.08656052383081242,0.37784071819810294,74
USB,0.009349260727597897,0.07165386546174926,0.39049890598346726,81
TMO,0.00918126526062657,0.15112456883107322,0.48237390750694287,56
AMD,0.007504738975218972,-0.5920447127939878,0.5333671945619756,54
MMM,0.006477729274917854,0.2106842337245067,0.6035186125232959,44
HON,0.006202600171967498,0.11795138651649179,0.516940797754321,70
SCHW,0.005515467179469824,0.04927405018716826,0.5971492259687137,53
TXN,0.00542565864996003,0.112815671998636,0.6603030476055649,38
KO,0.004901103017683428,-0.0675839994696938,0.570514807609789,68
GS,0.0046392085513374814,-0.17348781770711436,0.5868533562075204,66
MCD,0.004495580548977252,0.09582296416379883,0.5348088693548327,88
GOOGL,0.0034531282596628188,0.21212907501732445,0.6584208381740633,59
CAT,0.0034078631457470365,0.15059027651639323,0.6522127295061074,62
MS,0.0031875796314170257,-0.07656596839439034,0.6602965190053178,63
META,0.0030870366455043596,-0.3439604828366692,0.7169730418118184,45
HD,0.002911322160626062,0.08067702724615625,0.6928755220374754,56
WFC,0.0025917948026261683,-0.034795733505389136,0.6967996231960353,61
AMZN,0.002535423195163644,0.33265142014533033,0.7514882611214603,42
GE,0.0023052824921179216,0.042785194504248406,0.7204140868451608,58
PEP,0.0018192210364106343,0.04578833493481431,0.7965499300803275,39
C,0.0012720450974607056,-0.02656010478611968,0.7813904451795377,63
NFLX,0.0010370127460421763,-0.43995560655081395,0.7897791646978591,71
TGT,0.0010105482490468942,-0.06765030216785993,0.7984350968153273,67
TSLA,0.0009446650140821911,0.17642683273528215,0.837505152949261,47
DIS,0.0008636840107874022,0.05574775859364826,0.8498028153673036,44
PFE,0.0005802560460896888,0.022166435431076027,0.8385731961871771,74
BLK,0.0002752737706581687,0.015120336143990401,0.9294104282793766,31
BMY,0.00010118666599756576,-0.009801803002766203,0.9298887014249548,79
