window_id,algorithm,train_start,train_end,test_start,test_end,test_year,train_r2,test_r2,test_rmse,train_size,test_size,importance_ievr,importance_raw_ievr,importance_normative_iv_rv_ratio,importance_raw_normative_iv_rv_ratio,importance_IV_RATIO,importance_raw_IV_RATIO,importance_SMIRK,importance_raw_SMIRK,importance_vol_hl21,importance_raw_vol_hl21,importance_z_score_momentum,importance_raw_z_score_momentum,importance_dispersion_pct_ibes,importance_raw_dispersion_pct_ibes
1,RandomForest,2005-01,2009-12,2010-01,2010-06,2010,0.43635291343407034,0.0862931516139045,0.19669944959790364,3110,354,0.17071039441021027,0.17071039441021027,0.42681742015377483,0.42681742015377483,0.09738537079801231,0.09738537079801231,0.06091739137545529,0.06091739137545529,0.07570815424391199,0.07570815424391199,0.060587231117261074,0.060587231117261074,0.10787403790137426,0.10787403790137426
1,XGBoost,2005-01,2009-12,2010-01,2010-06,2010,0.6813250695042872,0.007776620066426654,0.20497666968973582,3110,354,0.11829821020364761,0.11829821020364761,0.2501566410064697,0.2501566410064697,0.12394655495882034,0.12394655495882034,0.11760789155960083,0.11760789155960083,0.13077989220619202,0.13077989220619202,0.12631827592849731,0.12631827592849731,0.13289260864257812,0.13289260864257812
2,RandomForest,2005-07,2010-06,2010-07,2010-12,2010,0.42466873501468405,-0.07009830402921424,0.217205696072234,3233,368,0.1836775093278041,0.18367750932780408,0.40478579420152183,0.4047857942015218,0.10666082715924492,0.10666082715924491,0.06404280100566899,0.06404280100566898,0.07704166822336149,0.07704166822336148,0.06382954788818539,0.06382954788818537,0.09996185219421343,0.09996185219421341
2,XGBoost,2005-07,2010-06,2010-07,2010-12,2010,0.6645097590455602,-0.14114920752443783,0.22430067925274055,3233,368,0.12189970910549164,0.12189970165491104,0.24876214563846588,0.2487621307373047,0.13007159531116486,0.13007158041000366,0.11932972073554993,0.11932971328496933,0.12624163925647736,0.12624162435531616,0.1150047704577446,0.115004763007164,0.13869048655033112,0.13869047164916992
3,RandomForest,2006-01,2010-12,2011-01,2011-06,2011,0.3921023598406643,0.1860703246287877,0.21117143584994041,3354,397,0.1916748965474327,0.19167489654743267,0.3757901320818211,0.37579013208182105,0.1181765780606576,0.11817657806065758,0.06808213681638796,0.06808213681638794,0.07846761739892204,0.07846761739892202,0.0679201895855937,0.06792018958559369,0.09988844950918487,0.09988844950918485
3,XGBoost,2006-01,2010-12,2011-01,2011-06,2011,0.6574868645428364,0.14055781036786075,0.21699516943467553,3354,397,0.12656112015247345,0.12656112015247345,0.22871944308280945,0.22871944308280945,0.13205300271511078,0.13205300271511078,0.12268824130296707,0.12268824130296707,0.12933073937892914,0.12933073937892914,0.12401594966650009,0.12401594966650009,0.13663150370121002,0.13663150370121002
4,RandomForest,2006-07,2011-06,2011-07,2011-12,2011,0.40896981111104835,0.11116845184775526,0.214225881481427,3459,396,0.20521709893328346,0.20521709893328346,0.37566047672261277,0.37566047672261277,0.10568211721090144,0.10568211721090144,0.07302343311062852,0.07302343311062852,0.07221439014023928,0.07221439014023928,0.07406898324945056,0.07406898324945056,0.09413350063288384,0.09413350063288384
4,XGBoost,2006-07,2011-06,2011-07,2011-12,2011,0.6483602427947053,0.07496037854099791,0.21854575510687396,3459,396,0.1294226050376892,0.12942259013652802,0.23920510709285736,0.23920509219169617,0.1267332136631012,0.12673319876194,0.11246711015701294,0.11246710270643234,0.126320943236351,0.12632092833518982,0.12592251598834991,0.12592250108718872,0.13992860913276672,0.13992859423160553
5,RandomForest,2007-01,2011-12,2012-01,2012-06,2012,0.3947549769990196,0.10836195285062034,0.22194045202889864,3610,428,0.21057478637894683,0.21057478637894683,0.3652885077728116,0.3652885077728116,0.1038341283567601,0.1038341283567601,0.0677632727238754,0.0677632727238754,0.07466199086526912,0.07466199086526912,0.07775574856277932,0.07775574856277932,0.10012156533955771,0.10012156533955771
5,XGBoost,2007-01,2011-12,2012-01,2012-06,2012,0.6273869435997762,0.07044546713950595,0.22661027964323605,3610,428,0.13775764405727386,0.13775764405727386,0.23298819363117218,0.23298819363117218,0.13484737277030945,0.13484737277030945,0.12000524997711182,0.12000524997711182,0.12129166722297668,0.12129166722297668,0.12469765543937683,0.12469765543937683,0.12841226160526276,0.12841226160526276
6,RandomForest,2007-07,2012-06,2012-07,2012-12,2012,0.393883638080443,0.1935107929392904,0.22092902597135858,3642,406,0.1742534653412616,0.1742534653412616,0.34516635635606163,0.34516635635606163,0.09259615846052086,0.09259615846052086,0.0915842112339116,0.0915842112339116,0.10613153190766543,0.10613153190766543,0.0868197542859195,0.0868197542859195,0.10344852241465946,0.10344852241465946
6,XGBoost,2007-07,2012-06,2012-07,2012-12,2012,0.6210063584702321,0.14388543897649053,0.22762472798868894,3642,406,0.12561053037643433,0.12561054527759552,0.21681497991085052,0.2168150097131729,0.12033121287822723,0.12033122777938843,0.1283300518989563,0.1283300668001175,0.14282114803791046,0.14282116293907166,0.13097016513347626,0.13097018003463745,0.13512186706066132,0.1351218819618225
7,RandomForest,2008-01,2012-12,2013-01,2013-06,2013,0.3859607061469097,0.0914283592988353,0.21886105376017811,3739,477,0.17050002350108784,0.17050002350108784,0.3766298744689147,0.3766298744689147,0.07942959966150995,0.07942959966150995,0.08934862768075708,0.08934862768075708,0.0978448566437067,0.0978448566437067,0.08505864517354561,0.08505864517354561,0.10118837287047817,0.10118837287047817
