year,quarter,quarter_start_date,quarter_end_date,permno,ticker,cusip,comnam,dollar_vol
2005,1,2005-01-01,2005-03-31,90441,NWS,90130A30,NEWS CORP,49126770.0
2005,1,2005-01-01,2005-03-31,11308,KO,19121610,COCA COLA CO,49019231.79
2005,1,2005-01-01,2005-03-31,38703,WFC,94974610,WELLS FARGO & CO NEW,48890673.2
2005,1,2005-01-01,2005-03-31,60097,MDT,G5960L10,MEDTRONIC INC,48480813.8
2005,1,2005-01-01,2005-03-31,86979,JNPR,48203R10,JUNIPER NETWORKS INC,48247564.47
2005,1,2005-01-01,2005-03-31,11896,MXIM,57772K10,MAXIM INTEGRATED PRODUCTS INC,47379634.51
2005,1,2005-01-01,2005-03-31,89179,WLP,03675210,WELLPOINT INC,47229358.5
2005,1,2005-01-01,2005-03-31,34746,FITB,31677310,FIFTH THIRD BANCORP,47216494.08
2005,1,2005-01-01,2005-03-31,60628,FDX,31428X10,FEDEX CORP,46485708.7
2005,1,2005-01-01,2005-03-31,15667,WYE,98302410,WYETH,46376413.05
2005,1,2005-01-01,2005-03-31,81126,GDT,40169810,GUIDANT CORP,45960617.23
2005,1,2005-01-01,2005-03-31,87031,DNA,36871040,GENENTECH INC,45580702.7
2005,1,2005-01-01,2005-03-31,27828,HPQ,40434L10,HEWLETT PACKARD CO,44837454.87
2005,1,2005-01-01,2005-03-31,89626,CME,12572Q10,CHICAGO MERCANTILE EXCH HLDG INC,44692362.0
2005,1,2005-01-01,2005-03-31,17830,UTX,75513E10,UNITED TECHNOLOGIES CORP,44304032.64
2005,1,2005-01-01,2005-03-31,76644,X,91290910,UNITED STATES STEEL CORP NEW,42999957.0
2005,1,2005-01-01,2005-03-31,10147,EMC,26864810,E M C CORP MA,41936414.3
2005,1,2005-01-01,2005-03-31,49154,TGT,87612E10,TARGET CORP,41805236.48
2005,1,2005-01-01,2005-03-31,82618,SNDK,80004C10,SANDISK CORP,41460283.8
2005,1,2005-01-01,2005-03-31,21207,NEM,65163910,NEWMONT MINING CORP,41324655.8
2005,1,2005-01-01,2005-03-31,83581,WWCA,95988E20,WESTERN WIRELESS CORP,41318965.94
2005,1,2005-01-01,2005-03-31,88668,MON,61166W10,MONSANTO CO NEW,41200941.24
2005,1,2005-01-01,2005-03-31,36469,WB,92990310,WACHOVIA CORP 2ND NEW,41109965.3
2005,1,2005-01-01,2005-03-31,26403,DIS,25468710,DISNEY WALT CO,40799181.5
2005,1,2005-01-01,2005-03-31,13856,PEP,71344810,PEPSICO INC,40011816.3
2005,1,2005-01-01,2005-03-31,50876,LLY,53245710,LILLY ELI & CO,39829028.64
