gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
179686,P,01,LC,12413.0,53585.0,2010-11-23,2022-03-31
014275,P,04,LC,12448.0,53609.0,2010-12-09,
184700,P,01,LC,12449.0,53610.0,2010-12-15,
186106,P,01,LC,12456.0,53616.0,2011-01-04,2012-05-31
185318,P,01,LC,12473.0,53620.0,2010-12-16,2017-09-10
030861,P,01,LC,12473.0,53620.0,2017-09-11,
185532,P,01,LC,12476.0,53621.0,2010-12-07,
006066,C,00X,LC,12490.0,20990.0,1950-01-01,1962-01-30
006066,P,01,LC,12490.0,20990.0,1962-01-31,
006081,C,00X,LC,12503.0,21265.0,1949-11-01,1962-01-30
006081,P,01,LC,12503.0,21265.0,1962-01-31,2007-02-13
006081,P,01,LC,12503.0,21265.0,2008-06-30,2021-07-30
180683,P,01,LC,12527.0,53652.0,2011-01-04,
006310,P,04,LC,12558.0,53667.0,2011-02-11,
005860,C,00X,LC,12570.0,20964.0,1950-01-01,1962-01-30
005860,P,01,LC,12570.0,20964.0,1962-01-31,
185428,P,01,LC,12575.0,53675.0,2011-02-04,2018-12-31
186437,P,01,LC,12579.0,53678.0,2011-02-09,
185836,P,01,LC,12583.0,53682.0,2011-02-03,
184254,P,01,LC,12591.0,53688.0,2011-03-30,
022260,P,04,LC,12622.0,53696.0,2011-03-10,
186310,P,01,LC,12623.0,53697.0,2011-03-31,
006335,C,00X,LC,12650.0,21033.0,1963-01-01,1963-01-30
006335,P,01,LC,12650.0,21033.0,1963-01-31,2021-12-31
185645,P,01,LC,12660.0,53710.0,2011-04-01,2020-10-31
186342,P,01,LC,12742.0,53751.0,2011-05-19,2016-12-07
187215,P,02,LC,12792.0,53773.0,2011-05-27,2021-03-31
185624,P,01,LC,12796.0,53776.0,2011-05-31,
186683,P,01,LC,12865.0,53808.0,2011-06-10,2014-07-31
186989,P,01,LC,12872.0,53810.0,2011-06-23,
186520,P,01,LC,12873.0,53811.0,2011-06-15,2019-01-31
186714,P,01,LC,12882.0,53818.0,2011-06-29,2015-12-31
174222,P,01,LC,12914.0,53843.0,2011-07-27,2020-12-31
187039,P,01,LC,12927.0,53853.0,2011-07-20,2017-12-31
187039,J,01,LC,12927.0,53853.0,2018-01-01,
188255,P,01,LC,12981.0,53876.0,2011-10-04,
032280,P,01,LC,13008.0,53884.0,2011-09-26,2016-12-30
189491,P,01,LC,13035.0,53896.0,2011-11-01,
187490,P,01,LC,13080.0,53919.0,2011-11-09,2019-01-31
185180,P,01,LC,13081.0,53920.0,2011-11-16,2017-05-31
007127,C,00X,LC,13100.0,21172.0,1950-02-01,1962-01-30
007127,P,01,LC,13100.0,21172.0,1962-01-31,2005-08-29
192255,P,01,LC,13105.0,53929.0,2011-11-01,
196055,P,01,LC,13107.0,53931.0,2011-11-16,2023-07-31
187363,P,01,LC,13108.0,53932.0,2011-11-04,
187698,P,01,LC,13116.0,53938.0,2011-12-15,
187961,P,01,LC,13124.0,53941.0,2011-12-15,
187128,P,01,LC,13141.0,53947.0,2012-01-03,2021-01-29
199356,P,01,LC,13168.0,53964.0,2011-12-21,
187576,P,01,LC,13169.0,53965.0,2011-12-16,2022-05-31
170527,P,01,LC,13188.0,53972.0,2012-02-06,
187692,P,01,LC,13201.0,53977.0,2012-01-19,2022-06-30
187697,P,01,LC,13210.0,53983.0,2012-02-08,
187812,P,01,LC,13244.0,53987.0,2012-02-02,
187696,P,01,LC,13249.0,53988.0,2012-02-24,
181989,P,01,LC,13253.0,53989.0,2012-02-01,2024-08-30
179671,P,01,LC,13262.0,53994.0,2012-02-08,2022-10-31
020423,P,02,LC,13267.0,53998.0,2012-02-08,2020-07-31
177966,P,01,LC,13284.0,54006.0,2012-03-15,
184498,P,01,LC,13299.0,54012.0,2012-03-08,2018-07-31
194956,P,01,LC,13314.0,54016.0,2012-03-22,2019-07-31
187739,P,01,LC,13316.0,54018.0,2012-03-28,2022-02-28
196268,P,01,LC,13318.0,54020.0,2012-03-02,
187450,P,01,LC,13323.0,54026.0,2012-03-30,
170841,P,01,LC,13356.0,54048.0,2012-05-01,
170335,P,01,LC,13377.0,54063.0,2012-04-20,2021-09-30
170616,P,01,LC,13379.0,54064.0,2012-04-19,2024-03-28
170617,P,01,LC,13407.0,54084.0,2012-05-18,
024658,P,01,LC,13412.0,54089.0,2012-05-30,2024-07-10
171007,P,01,LC,13447.0,54109.0,2012-06-29,
170969,P,01,LC,13456.0,54116.0,2012-06-28,2019-01-31
171067,P,01,LC,13511.0,54139.0,2012-07-20,
171141,P,01,LC,13527.0,54146.0,2012-07-19,
013664,P,01,LC,13553.0,41998.0,2012-08-10,2018-03-09
014438,P,01,LC,13567.0,54174.0,2012-10-01,2016-04-29
013836,P,01,LC,13585.0,54184.0,2012-09-21,2015-02-27
012978,P,01,LC,13598.0,54193.0,2012-10-01,2015-07-02
180483,P,01,LC,13604.0,54198.0,2012-10-04,
008123,C,00X,LU,13610.0,21329.0,1954-01-01,1962-01-30
008123,P,01,LU,13610.0,21329.0,1962-01-31,
170945,P,01,LC,13621.0,54207.0,2012-10-19,
174022,P,02,LC,13622.0,54208.0,2012-10-11,
013540,P,01,LC,13627.0,54212.0,2012-10-26,2017-04-28
015044,P,01,LC,13628.0,54213.0,2012-10-12,
170750,P,01,LC,13641.0,54222.0,2012-10-12,
014320,P,01,LC,13643.0,54224.0,2012-10-11,2023-11-30
015452,P,01,LC,13647.0,54227.0,2012-10-12,2017-02-28
111873,P,02,LC,13687.0,54265.0,2012-11-02,
008264,C,00X,LC,13688.0,21356.0,1951-01-01,1962-01-30
008264,P,01,LC,13688.0,21356.0,1962-01-31,
015314,P,01,LC,13711.0,54283.0,2012-12-13,2016-11-30
016101,P,01,LC,13721.0,54287.0,2013-01-02,
196159,P,01,LC,13730.0,54291.0,2012-12-13,
016892,P,01,LC,13748.0,54303.0,2013-01-31,2014-07-30
258869,P,01,LC,13748.0,54303.0,2014-07-31,
017010,P,01,LC,13757.0,54311.0,2013-01-14,2016-04-17
027187,P,01,LC,13757.0,54311.0,2016-04-18,2017-12-31
027187,J,01,LC,13757.0,54311.0,2018-01-01,
013721,P,01,LC,13788.0,54327.0,2013-02-01,
017376,P,01,LC,13812.0,54343.0,2013-03-22,
185334,P,01,LC,13818.0,54346.0,2013-03-28,2018-10-31
008479,C,00X,LC,13856.0,21384.0,1950-01-01,1962-01-30
008479,P,01,LC,13856.0,21384.0,1962-01-31,
017550,P,01,LC,13875.0,54375.0,2013-04-19,2014-05-31
017550,J,01,LC,13875.0,54375.0,2014-06-01,2015-04-30
017550,P,01,LC,13875.0,54375.0,2015-05-01,2018-06-29
015215,P,01,LC,13883.0,54381.0,2013-04-30,2018-12-09
034528,P,01,LC,13883.0,54381.0,2018-12-10,2021-06-27
039104,P,01,LC,13883.0,54381.0,2021-06-28,
008543,C,00X,LC,13901.0,21398.0,1950-01-01,1962-01-30
008543,P,01,LC,13901.0,21398.0,1962-01-31,
016384,P,01,LC,13904.0,54396.0,2013-05-02,
017928,P,01,LC,13911.0,54401.0,2013-05-09,
017695,P,01,LC,13914.0,54402.0,2013-05-17,2019-07-31
017071,P,01,LC,13918.0,54405.0,2013-05-22,2017-11-15
032715,P,01,LC,13918.0,54405.0,2017-11-16,
008549,C,00X,LC,13928.0,21401.0,1950-01-01,1962-01-30
008549,P,01,LC,13928.0,21401.0,1962-01-31,
008549,N,01C,LX,13928.0,21401.0,1998-07-31,
008551,C,00X,LC,13936.0,21402.0,1950-01-01,1962-02-27
008551,P,01,LC,13936.0,21402.0,1962-02-28,
017688,P,01,LC,13942.0,54421.0,2013-05-09,2015-08-31
017998,P,01,LC,13947.0,54424.0,2013-06-19,
028320,P,02,LC,13949.0,54426.0,2013-06-27,
018162,P,01,LC,13954.0,54427.0,2013-06-26,
170384,P,01,LC,13956.0,54428.0,2013-06-21,
017812,P,01,LC,13957.0,54429.0,2013-06-27,2020-12-31
018043,P,01,LC,13963.0,54433.0,2013-07-01,
012151,P,01,LC,13983.0,54444.0,2013-06-13,
001602,P,01,LU,14008.0,216.0,1983-06-17,
010984,P,10,LC,14040.0,54473.0,2013-07-12,2020-03-31
018386,P,01,LC,14041.0,54474.0,2013-08-01,2018-02-28
018159,P,01,LC,14044.0,54476.0,2013-07-24,
017910,P,01,LC,14051.0,54481.0,2013-07-24,2024-06-16
