date,secid,exdate,strike_price,cp_flag,best_bid,best_offer,open_interest,impl_volatility,delta,gamma,theta,vega,volume,tte,underlying_price,underlying_price_stock,mid_price,moneyness,bid_ask_spread,log_moneyness,earnings_date,days_to_earnings,ticker
2023-01-03,101310.0,2023-01-13,100.0,C,0.11,0.12,5131.0,0.512529,0.04028,0.011911,-11.65565,1.23159,2502.0,10,0.11499999999999999,85.82,0.11499999999999999,0.8582,0.09090909090909087,-0.15291810642471276,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,101.0,C,0.09,0.1,1255.0,0.521658,0.033567,0.010083,-10.21593,1.062341,99.0,10,0.095,85.82,0.095,0.8497029702970297,0.11111111111111122,-0.16286843727788083,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,102.0,C,0.08,0.09,1543.0,0.53735,0.029677,0.008842,-9.500293,0.957266,290.0,10,0.08499999999999999,85.82,0.08499999999999999,0.8413725490196078,0.12499999999999993,-0.1727207337208925,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,103.0,C,0.07,0.08,594.0,0.551104,0.025998,0.007721,-8.721825,0.857067,1143.0,10,0.07500000000000001,85.82,0.07500000000000001,0.8332038834951455,0.14285714285714277,-0.18247690866625726,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,104.0,C,0.06,0.07,806.0,0.562735,0.022487,0.006694,-7.880688,0.760778,1060.0,10,0.065,85.82,0.065,0.8251923076923077,0.16666666666666682,-0.19213881957799406,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,105.0,C,0.05,0.06,1724.0,0.571887,0.019107,0.005739,-6.974886,0.662452,2253.0,10,0.055,85.82,0.055,0.8173333333333332,0.1999999999999999,-0.20170827059414484,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,106.0,C,0.04,0.05,1140.0,0.577949,0.015819,0.004833,-5.997191,0.56389,56.0,10,0.045,85.82,0.045,0.8096226415094339,0.25000000000000006,-0.21118701454868863,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,107.0,C,0.04,0.05,2071.0,0.599783,0.015317,0.00453,-6.051632,0.548825,86.0,10,0.045,85.82,0.045,0.8020560747663551,0.25000000000000006,-0.22057675489852757,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,72.0,C,14.05,14.2,0.0,0.683778,0.947143,0.011105,-21.80843,1.529115,15.0,10,14.125,85.82,14.125,1.1919444444444443,0.010676156583629791,0.17558596054732317,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,73.0,C,13.1,13.25,54.0,0.669654,0.936374,0.013116,-24.34877,1.77322,10.0,10,13.175,85.82,13.175,1.1756164383561643,0.01145038167938934,0.1617926384149874,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,74.0,C,12.15,12.25,104.0,0.637966,0.92874,0.015026,-25.22305,1.933681,21.0,10,12.2,85.82,12.2,1.1597297297297295,0.00823045267489709,0.14818698635920874,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,75.0,C,11.2,11.3,116.0,0.616408,0.916594,0.017525,-27.22025,2.179564,118.0,10,11.25,85.82,11.25,1.1442666666666665,0.008928571428571556,0.1347639660270681,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,76.0,C,10.25,10.4,107.0,0.601328,0.899982,0.020551,-30.04417,2.492591,24.0,10,10.325,85.82,10.325,1.1292105263157894,0.014634146341463448,0.12151873927704754,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,77.0,C,9.35,9.45,581.0,0.581017,0.882371,0.023902,-32.36894,2.798977,33.0,10,9.399999999999999,85.82,9.399999999999999,1.1145454545454545,0.010695187165775364,0.10844665770969476,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,78.0,C,8.45,8.6,515.0,0.571993,0.857198,0.027764,-36.05502,3.204225,50.0,10,8.524999999999999,85.82,8.524999999999999,1.10025641025641,0.01775147928994087,0.09554325287378675,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,79.0,C,7.6,7.75,263.0,0.562776,0.82818,0.031868,-39.70625,3.620615,55.0,10,7.675,85.82,7.675,1.0863291139240505,0.019736842105263205,0.08280422709635704,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,80.0,C,6.75,6.9,463.0,0.546213,0.797787,0.036316,-42.36676,3.999736,196.0,10,6.825,85.82,6.825,1.0727499999999999,0.022222222222222275,0.07022544488949692,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,81.0,C,6.0,6.1,265.0,0.540397,0.758952,0.040587,-46.01254,4.427152,133.0,10,6.05,85.82,6.05,1.059506172839506,0.016666666666666607,0.057802924890939814,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,82.0,C,5.25,5.35,372.0,0.531304,0.717005,0.044822,-48.8442,4.806182,181.0,10,5.3,85.82,5.3,1.0465853658536584,0.01904761904761898,0.04553283229912536,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,83.0,C,4.55,4.65,893.0,0.523673,0.670472,0.04864,-51.2396,5.140166,467.0,10,4.6,85.82,4.6,1.0339759036144578,0.021978021978022098,0.033411471766780686,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,84.0,C,3.9,4.0,2637.0,0.516608,0.620238,0.051861,-52.94228,5.407999,938.0,10,3.95,85.82,3.95,1.0216666666666665,0.025641025641025664,0.02143528072006487,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,85.0,C,3.3,3.4,2575.0,0.509363,0.567091,0.05434,-53.73217,5.586717,6689.0,10,3.3499999999999996,85.82,3.3499999999999996,1.0096470588235293,0.03030303030303033,0.009600823073062122,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,86.0,C,2.8,2.82,1113.0,0.503244,0.511825,0.055763,-53.65108,5.664958,2146.0,10,2.8099999999999996,85.82,2.8099999999999996,0.9979069767441859,0.00714285714285715,-0.0020952166901291973,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,87.0,C,2.31,2.34,1187.0,0.497151,0.455644,0.056126,-52.55663,5.631656,5009.0,10,2.325,85.82,2.325,0.9864367816091953,0.012987012987012903,-0.01365603909120513,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,88.0,C,1.89,1.91,13600.0,0.491837,0.399825,0.055279,-50.54077,5.486413,2101.0,10,1.9,85.82,1.9,0.9752272727272726,0.010582010582010592,-0.025084734914827947,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,89.0,C,1.52,1.54,2297.0,0.486573,0.345434,0.053317,-47.60954,5.23802,1664.0,10,1.53,85.82,1.53,0.9642696629213482,0.013157894736842117,-0.03638429016876132,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,90.0,C,1.21,1.22,4308.0,0.481836,0.293762,0.050304,-43.96861,4.89116,5880.0,10,1.2149999999999999,85.82,1.2149999999999999,0.9535555555555555,0.008264462809917363,-0.04755759076688649,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,91.0,C,0.95,0.96,1106.0,0.47837,0.24622,0.046382,-39.89367,4.473638,1172.0,10,0.955,85.82,0.955,0.943076923076923,0.010526315789473694,-0.05860742695347144,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,92.0,C,0.74,0.75,1828.0,0.47633,0.203735,0.041834,-35.62358,4.023091,1332.0,10,0.745,85.82,0.745,0.9328260869565217,0.013513513513513526,-0.06953649748566171,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,93.0,C,0.57,0.58,1570.0,0.474791,0.166303,0.036995,-31.25921,3.544636,2073.0,10,0.575,85.82,0.575,0.9227956989247311,0.017543859649122823,-0.08034741358987736,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,94.0,C,0.44,0.45,1143.0,0.47553,0.134984,0.032145,-27.21361,3.079452,689.0,10,0.445,85.82,0.445,0.9129787234042552,0.02272727272727275,-0.09104270270662534,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,95.0,C,0.34,0.35,3138.0,0.47772,0.109044,0.027541,-23.50659,2.656216,1410.0,10,0.345,85.82,0.345,0.9033684210526315,0.029411764705882214,-0.1016248120371623,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,96.0,C,0.27,0.28,951.0,0.484038,0.089267,0.023481,-20.55513,2.292499,1084.0,10,0.275,85.82,0.275,0.8939583333333333,0.03703703703703707,-0.11209611190445763,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,97.0,C,0.21,0.22,685.0,0.488279,0.071974,0.019785,-17.60956,1.947675,343.0,10,0.215,85.82,0.215,0.884742268041237,0.047619047619047665,-0.1224588989400043,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,98.0,C,0.17,0.18,1163.0,0.496902,0.059482,0.01677,-15.44554,1.679575,145.0,10,0.175,85.82,0.175,0.8757142857142857,0.058823529411764594,-0.13271539910719332,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,99.0,C,0.14,0.15,417.0,0.507019,0.049727,0.014265,-13.66917,1.460176,215.0,10,0.14500000000000002,85.82,0.14500000000000002,0.8668686868686868,0.07142857142857129,-0.14286777057121136,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,100.0,P,14.05,14.4,41.0,0.4985,-0.971165,0.011907,-6.990377,0.91373,87.0,10,14.225000000000001,85.82,14.225000000000001,0.8582,0.024911032028469723,-0.15291810642471276,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,72.0,P,0.09,0.1,154.0,0.577704,-0.029012,0.008073,-9.818963,0.941557,741.0,10,0.095,85.82,0.095,1.1919444444444443,0.11111111111111122,0.17558596054732317,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,73.0,P,0.12,0.13,3352.0,0.567508,-0.037469,0.010146,-11.89949,1.161785,226.0,10,0.125,85.82,0.125,1.1756164383561643,0.08333333333333341,0.1617926384149874,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,74.0,P,0.16,0.17,1271.0,0.558319,-0.048344,0.012671,-14.37296,1.424595,413.0,10,0.165,85.82,0.165,1.1597297297297295,0.06250000000000006,0.14818698635920874,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,75.0,P,0.21,0.22,2483.0,0.548459,-0.061601,0.015623,-17.08616,1.728354,414.0,10,0.215,85.82,0.215,1.1442666666666665,0.047619047619047665,0.1347639660270681,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,76.0,P,0.28,0.29,1112.0,0.541691,-0.079025,0.019158,-20.41869,2.09157,1171.0,10,0.28500000000000003,85.82,0.28500000000000003,1.1292105263157894,0.035714285714285546,0.12151873927704754,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,77.0,P,0.36,0.37,1832.0,0.531318,-0.098766,0.02306,-23.6188,2.471637,1815.0,10,0.365,85.82,0.365,1.1145454545454545,0.027777777777777804,0.10844665770969476,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,78.0,P,0.47,0.48,2482.0,0.524576,-0.123965,0.027489,-27.41188,2.90674,529.0,10,0.475,85.82,0.475,1.10025641025641,0.02127659574468087,0.09554325287378675,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,79.0,P,0.61,0.62,1645.0,0.518691,-0.15411,0.032246,-31.39375,3.369552,752.0,10,0.615,85.82,0.615,1.0863291139240505,0.016393442622950834,0.08280422709635704,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,80.0,P,0.79,0.8,2959.0,0.51479,-0.189917,0.037132,-35.55339,3.853771,1510.0,10,0.795,85.82,0.795,1.0727499999999999,0.012658227848101276,0.07022544488949692,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,81.0,P,1.0,1.01,1013.0,0.508897,-0.229705,0.042024,-39.24878,4.308977,676.0,10,1.005,85.82,1.005,1.059506172839506,0.010000000000000009,0.057802924890939814,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,82.0,P,1.25,1.27,1438.0,0.503627,-0.274483,0.046663,-42.59128,4.73335,2569.0,10,1.26,85.82,1.26,1.0465853658536584,0.016000000000000014,0.04553283229912536,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,83.0,P,1.55,1.57,2309.0,0.497987,-0.323526,0.050868,-45.28098,5.101407,1384.0,10,1.56,85.82,1.56,1.0339759036144578,0.012903225806451623,0.033411471766780686,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,84.0,P,1.9,1.92,702.0,0.492323,-0.376387,0.054407,-47.19324,5.39197,1519.0,10,1.91,85.82,1.91,1.0216666666666665,0.010526315789473694,0.02143528072006487,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,85.0,P,2.3,2.32,1563.0,0.485906,-0.43227,0.05713,-48.09531,5.583406,5519.0,10,2.3099999999999996,85.82,2.3099999999999996,1.0096470588235293,0.008695652173913052,0.009600823073062122,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,86.0,P,2.76,2.78,1394.0,0.480107,-0.490415,0.058702,-48.03279,5.663886,3044.0,10,2.7699999999999996,85.82,2.7699999999999996,0.9979069767441859,0.00724637681159421,-0.0020952166901291973,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,87.0,P,3.25,3.3,820.0,0.472014,-0.549948,0.05934,-46.66591,5.618535,1052.0,10,3.275,85.82,3.275,0.9864367816091953,0.01538461538461533,-0.01365603909120513,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,88.0,P,3.8,3.9,1153.0,0.465851,-0.609228,0.058423,-44.44281,5.446656,607.0,10,3.8499999999999996,85.82,3.8499999999999996,0.9752272727272726,0.026315789473684237,-0.025084734914827947,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,89.0,P,4.45,4.5,763.0,0.45809,-0.667727,0.056352,-41.07364,5.154294,409.0,10,4.475,85.82,4.475,0.9642696629213482,0.011235955056179735,-0.03638429016876132,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,90.0,P,5.15,5.2,703.0,0.45397,-0.721974,0.052726,-37.32753,4.759076,443.0,10,5.175000000000001,85.82,5.175000000000001,0.9535555555555555,0.009708737864077634,-0.04755759076688649,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,91.0,P,5.9,5.95,615.0,0.449493,-0.772257,0.048191,-32.96543,4.280498,591.0,10,5.925000000000001,85.82,5.925000000000001,0.943076923076923,0.00847457627118641,-0.05860742695347144,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,92.0,P,6.65,6.75,476.0,0.439087,-0.821279,0.043069,-27.48868,3.691394,406.0,10,6.7,85.82,6.7,0.9328260869565217,0.015037593984962351,-0.06953649748566171,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,93.0,P,7.5,7.6,156.0,0.436949,-0.859909,0.037343,-22.99943,3.148879,430.0,10,7.55,85.82,7.55,0.9227956989247311,0.013333333333333286,-0.08034741358987736,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,94.0,P,8.35,8.5,160.0,0.431272,-0.894965,0.031531,-18.18471,2.568553,95.0,10,8.425,85.82,8.425,0.9129787234042552,0.01796407185628747,-0.09104270270662534,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,95.0,P,9.25,9.45,306.0,0.434132,-0.919564,0.026332,-14.74254,2.105642,123.0,10,9.35,85.82,9.35,0.9033684210526315,0.021621621621621546,-0.1016248120371623,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,96.0,P,10.2,10.35,455.0,0.425265,-0.945491,0.021011,-10.33388,1.541004,59.0,10,10.274999999999999,85.82,10.274999999999999,0.8939583333333333,0.014705882352941213,-0.11209611190445763,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-13,97.0,P,11.15,11.3,110.0,0.416094,-0.966308,0.016201,-6.560289,1.039927,60.0,10,11.225000000000001,85.82,11.225000000000001,0.884742268041237,0.01345291479820631,-0.1224588989400043,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,100.0,C,0.24,0.25,56998.0,0.455501,0.06847,0.015654,-12.18816,2.440893,2759.0,17,0.245,85.82,0.245,0.8582,0.041666666666666706,-0.15291810642471276,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,101.0,C,0.2,0.21,1074.0,0.460591,0.058224,0.013645,-10.85333,2.155574,67.0,17,0.20500000000000002,85.82,0.20500000000000002,0.8497029702970297,0.049999999999999906,-0.16286843727788083,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,102.0,C,0.17,0.18,391.0,0.467435,0.050168,0.011951,-9.78294,1.91687,225.0,17,0.175,85.82,0.175,0.8413725490196078,0.058823529411764594,-0.1727207337208925,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,102.5,C,0.16,0.17,15997.0,0.472573,0.047239,0.011266,-9.422694,1.825595,1097.0,17,0.165,85.82,0.165,0.8372682926829268,0.06250000000000006,-0.17761071901508427,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,103.0,C,0.15,0.16,522.0,0.47726,0.04437,0.010608,-9.045865,1.735502,91.0,17,0.155,85.82,0.155,0.8332038834951455,0.06666666666666674,-0.18247690866625726,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,104.0,C,0.13,0.14,575.0,0.485189,0.038789,0.009359,-8.241999,1.558873,197.0,17,0.135,85.82,0.135,0.8251923076923077,0.07692307692307698,-0.19213881957799406,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,105.0,C,0.11,0.12,37737.0,0.490943,0.033368,0.008177,-7.368946,1.377488,2949.0,17,0.11499999999999999,85.82,0.11499999999999999,0.8173333333333332,0.09090909090909087,-0.20170827059414484,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,106.0,C,0.1,0.11,300.0,0.502144,0.030215,0.007366,-6.940005,1.266519,16.0,17,0.10500000000000001,85.82,0.10500000000000001,0.8096226415094339,0.09999999999999995,-0.21118701454868863,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,106.5,C,0.1,0.11,4330.0,0.511363,0.029752,0.007141,-6.975247,1.250101,145.0,17,0.10500000000000001,85.82,0.10500000000000001,0.8058215962441314,0.09999999999999995,-0.21589290558610122,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,106.75,C,0.09,0.1,2196.0,0.507644,0.027402,0.006717,-6.465839,1.167346,8.0,17,0.095,85.82,0.095,0.8039344262295082,0.11111111111111122,-0.21823757254535534,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,107.0,C,0.09,0.1,3192.0,0.512156,0.027196,0.006616,-6.481405,1.160126,236.0,17,0.095,85.82,0.095,0.8020560747663551,0.11111111111111122,-0.22057675489852757,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,107.25,C,0.09,0.1,1844.0,0.51665,0.026994,0.006518,-6.496798,1.153054,150.0,17,0.095,85.82,0.095,0.8001864801864801,0.11111111111111122,-0.22291047824474783,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,73.0,C,13.3,13.45,39894.0,0.57122,0.917622,0.01437,-19.90866,2.815948,9.0,17,13.375,85.82,13.375,1.1756164383561643,0.011278195488721696,0.1617926384149874,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,74.0,C,12.35,12.5,2200.0,0.550785,0.906873,0.01633,-20.88553,3.086115,5.0,17,12.425,85.82,12.425,1.1597297297297295,0.01214574898785428,0.14818698635920874,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,75.0,C,11.45,11.6,5573.0,0.542984,0.88961,0.018748,-22.97498,3.486595,21.0,17,11.524999999999999,85.82,11.524999999999999,1.1442666666666665,0.01310043668122274,0.1347639660270681,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,76.0,C,10.55,10.7,1339.0,0.530685,0.87171,0.021328,-24.71306,3.883617,13.0,17,10.625,85.82,10.625,1.1292105263157894,0.01421800947867285,0.12151873927704754,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,78.0,C,8.85,9.0,5020.0,0.51644,0.823698,0.027073,-29.08611,4.798927,7.0,17,8.925,85.82,8.925,1.10025641025641,0.016949152542372923,0.09554325287378675,2023-02-02,30,AMZN
2023-01-03,101310.0,2023-01-20,79.0,C,8.0,8.15,1881.0,0.502197,0.798208,0.030257,-30.5424,5.208007,26.0,17,8.075,85.82,8.075,1.0863291139240505,0.018750000000000044,0.08280422709635704,2023-02-02,30,AMZN
