earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,spx_ievr,underlying_price,methodology,ticker,beta_market,beta_smb,beta_hml,vix_analysis,vix_analysis_minus_5,vix_momentum_5d,vix_change_5d,vix_regime,afd_measurement_date,afd,afd_std,afd_mean,afd_analysts,earnings_surprise
2013-10-28,0.9712771784322246,1.0779962415983273,1.1098749826886307,0.2558489138235464,0.2634149339702616,0.2839103126614044,0.3060542499999999,0.2839103126614044,0.3194715568945633,0.9406590124978556,,482.75,ST/MT Ratio (Expanding EWM),AAPL,0.3531530656106654,1.2174783742090658,-2.4042018972565895,19.164104872881357,14.31,1.0148874655607083,0.1001344809037115,Unknown,2013-09-27,0.014285714285714287,0.02,1.4,55.0,
2014-04-23,1.4568099784142132,1.3599630610950464,0.9335212424721392,0.4332306202986361,0.2973830676051672,0.167117452673309,0.2272735624999999,0.167117452673309,0.2130346445771562,0.9090122808678364,,539.19,ST/MT Ratio (Expanding EWM),AAPL,0.2268393738859573,-0.2310929469845301,-0.035522836705357,15.09,15.12,0.998015873015873,-0.0299999999999993,Normal,2014-03-25,0.032679738562091505,0.05,1.53,50.0,
2014-07-22,0.3651100604866512,1.4676184365941085,4.019660358407917,0.5407731412532897,1.4811236385338138,0.1728857466081223,0.2537303091464177,0.1728857466081223,2.2636403695773835,1.202822361114136,,90.83,ST/MT Ratio (Expanding EWM),AAPL,0.724891933817803,0.1463147170679906,-1.4821532415037582,19.164104872881357,12.06,1.0148874655607083,0.1001344809037115,Unknown,2014-06-23,0.012658227848101266,0.02,1.58,49.0,
2014-10-20,0.8857997353626814,1.19250786735278,1.3462499702198716,0.1566069343572717,0.1767972241413582,0.2112996541979691,0.2519765,0.2112996541979691,0.1722454469150681,1.245027693856999,,100.96,ST/MT Ratio (Expanding EWM),AAPL,0.9432191899703152,0.5262065041965218,-1.2467039832379043,19.164104872881357,14.12,1.0148874655607083,0.1001344809037115,Unknown,2014-09-19,0.012658227848101266,0.02,1.58,46.0,
2015-01-27,1.4717261464817484,1.2746676870619915,0.8661038537021055,0.4004387943300501,0.2720878441191818,0.2322685379139145,0.2960652,0.2322685379139145,0.1502349868440222,1.1454505069214638,,113.91,ST/MT Ratio (Expanding EWM),AAPL,1.2873687788655337,0.7509458724683632,-0.7683302004067891,19.164104872881357,14.8,1.0148874655607083,0.1001344809037115,Unknown,2014-12-29,0.04639175257731959,0.09,1.94,48.0,
2015-04-27,1.0534004204554526,1.1930114874814832,1.1325337111273108,0.2006638863083888,0.1904915570677567,0.2742186136313791,0.3271459561434817,0.2742186136313791,0.2209709782644811,1.2527915311072786,,123.25,ST/MT Ratio (Expanding EWM),AAPL,0.6698213039953552,-0.3377372787223962,-0.847998846268925,19.164104872881357,13.41,1.0148874655607083,0.1001344809037115,Unknown,2015-03-27,0.027906976744186046,0.06,2.15,47.0,
2015-07-21,1.4355584900801706,1.3775306181257492,0.9595781904008795,0.2503290574178769,0.1743774699168802,0.1566669351376255,0.2158135,0.1566669351376255,0.1095365970546889,1.4365034219180517,,127.61,ST/MT Ratio (Expanding EWM),AAPL,1.5807402702481972,-0.0997887565788948,-1.761118003876179,19.164104872881357,14.81,1.0148874655607083,0.1001344809037115,Unknown,2015-06-22,0.017777777777777778,0.04,2.25,46.0,
2015-10-27,1.103164177365196,1.0999096425100356,0.9970498182211344,0.2572368100492089,0.2331808948542862,0.3572541187140422,0.39294725,0.3572541187140422,0.214543305598698,1.7898572596152218,,112.44,ST/MT Ratio (Expanding EWM),AAPL,1.302226910017918,-1.5835444052235643,-0.0675250314235768,19.164104872881357,22.44,1.0148874655607083,0.1001344809037115,Unknown,2015-09-28,0.004385964912280702,0.01,2.28,47.0,
2016-01-26,1.361157400863322,1.2514753029605852,0.9194199746236766,0.3401882752354981,0.2499257433561554,0.2372708628748321,0.296938625,0.2372708628748321,0.1830708410792362,1.430972429288369,,106.82,ST/MT Ratio (Expanding EWM),AAPL,1.1523247991253052,0.0744367730135856,0.2584758766712662,19.164104872881357,16.6,1.0148874655607083,0.1001344809037115,Unknown,2015-12-28,0.036885245901639344,0.09,2.44,49.0,
2016-04-26,1.287430853923147,1.3038312751298842,1.0127388753786355,0.3145381736757684,0.2443146152022738,0.2000747757596269,0.26086375,0.2000747757596269,0.1782888286133402,1.5381606635652478,,105.19,ST/MT Ratio (Expanding EWM),AAPL,1.121072849658905,0.2449536648427514,-0.3773765483947856,19.164104872881357,14.17,1.0148874655607083,0.1001344809037115,Unknown,2016-03-28,0.03539823008849558,0.08,2.26,44.0,
