ticker,days_to_earnings,bid_ask_spread,bid_ask_spread,volume,open_interest,option_notional,is_liquid
,,mean,median,sum,sum,sum,mean
AAPL,0,0.15668573856732768,0.1111111111111112,49152.0,619587.0,287232552.66,0.9565217391304348
AAPL,1,0.1567564708018447,0.0999999999999999,22031.0,626825.0,290869967.3825,0.9736842105263158
AAPL,2,0.1210561208312884,0.0714285714285712,21701.0,676301.0,353986292.385,1.0
AAPL,3,0.09305424064977945,0.055555555555555455,21645.0,605875.0,295345974.34749997,0.9857142857142858
AAPL,6,0.13303814440989542,0.08514492753623185,50053.0,660743.0,638576942.3974999,0.9634146341463414
AAPL,7,0.13333355782809225,0.0909090909090908,58994.0,784157.0,905575776.6650003,0.9696969696969697
AAPL,8,0.13787600213891515,0.08928571428571436,33811.0,720459.0,147559824.59,0.9787234042553191
AAPL,9,0.11788884644269453,0.0769230769230769,44092.0,816198.0,115132683.63250001,0.9888888888888889
AAPL,10,0.12693324004860423,0.0769230769230769,75501.0,783820.0,170308955.36749998,0.9134615384615384
AAPL,13,0.1241364929658087,0.0666666666666667,62710.0,759436.0,227944555.78750005,0.9893617021276596
AAPL,14,0.1126053698314359,0.0421099290780142,35793.0,808528.0,126055401.95750001,0.9903846153846154
AAPL,15,0.11545222504164693,0.048780487804878,49190.0,825156.0,460946058.415,0.959349593495935
AAPL,16,0.08877147748838185,0.0434782608695651,56964.0,779111.0,216109268.675,0.963963963963964
AAPL,17,0.22858439568249614,0.1999999999999999,3850.0,282558.0,30492090.19,0.9523809523809523
AAPL,20,0.1238365035216476,0.0588235294117645,48013.0,581195.0,72654685.17999999,0.9139784946236559
AAPL,21,0.10053181952062366,0.0392307692307692,62165.0,631548.0,352248907.40500003,0.9693877551020408
AAPL,22,0.0853867909216083,0.0404081632653061,46911.0,677873.0,175433072.76999998,0.9166666666666666
AAPL,23,0.07556137458029426,0.0337078651685393,100711.0,739685.0,169310634.7575,0.8938053097345132
AAPL,24,0.07102231077694914,0.03366065527334525,103601.0,794160.0,195934887.0775,0.8909090909090909
AAPL,27,0.09423231422294691,0.0416666666666667,184628.0,796855.0,221312192.6775,0.9217391304347826
AAPL,28,0.0814710977611936,0.03125,150951.0,889460.0,285971153.4375,0.9568345323741008
AAPL,29,0.08419984244308945,0.0453403380539059,179544.0,823611.0,389824129.0125,0.9202898550724637
AAPL,30,0.06299860443427598,0.03125,269492.0,763391.0,320781770.2025,0.7401574803149606
