date,secid,exdate,strike_price,cp_flag,best_bid,best_offer,open_interest,impl_volatility,delta,gamma,theta,vega,volume,tte,underlying_price,underlying_price_stock,mid_price,moneyness,bid_ask_spread,log_moneyness,earnings_date,days_to_earnings,ticker
2023-01-03,101594.0,2023-01-13,126.0,C,3.45,3.5,369.0,0.465779,0.482729,0.041323,-72.39552,8.251527,4541.0,10,3.475,125.07,3.475,0.9926190476190475,0.014492753623188354,-0.00740832639066289,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,127.0,C,2.99,3.0,499.0,0.459821,0.440915,0.041438,-70.61289,8.1682,4995.0,10,2.995,125.07,2.995,0.9848031496062991,0.003344481605351099,-0.01531350589777616,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,128.0,C,2.55,2.57,1040.0,0.454294,0.399124,0.041046,-68.15201,7.991944,3437.0,10,2.5599999999999996,125.07,2.5599999999999996,0.977109375,0.007843137254901968,-0.023156683358802006,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,129.0,C,2.15,2.17,1769.0,0.447881,0.357456,0.040238,-64.83386,7.726678,1789.0,10,2.16,125.07,2.16,0.9695348837209302,0.009302325581395357,-0.030938823800856913,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,130.0,C,1.81,1.82,3485.0,0.443333,0.317393,0.038824,-61.19704,7.377099,11214.0,10,1.815,125.07,1.815,0.962076923076923,0.005524861878453044,-0.03866086989476723,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,131.0,C,1.49,1.51,1117.0,0.437411,0.278192,0.037053,-56.77931,6.948072,2137.0,10,1.5,125.07,1.5,0.9547328244274809,0.01342281879194632,-0.04632374264033638,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,132.0,C,1.22,1.24,1429.0,0.432403,0.24132,0.034829,-52.09137,6.448864,2592.0,10,1.23,125.07,1.23,0.9474999999999999,0.016393442622950834,-0.05392834202555575,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,133.0,C,1.0,1.02,1435.0,0.42972,0.208103,0.032221,-47.53723,5.937565,3882.0,10,1.01,125.07,1.01,0.940375939849624,0.020000000000000018,-0.061475547660938636,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,134.0,C,0.81,0.82,1544.0,0.425888,0.176896,0.029438,-42.61426,5.37061,3258.0,10,0.815,125.07,0.815,0.9333582089552238,0.012345679012345552,-0.06896621939009623,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,135.0,C,0.66,0.67,4641.0,0.425206,0.15044,0.026543,-38.2605,4.836427,4179.0,10,0.665,125.07,0.665,0.9264444444444444,0.015151515151515164,-0.07640119787761428,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,136.0,C,0.52,0.54,1413.0,0.422493,0.125665,0.023626,-33.59241,4.273204,2125.0,10,0.53,125.07,0.53,0.9196323529411764,0.03846153846153849,-0.08378130517523687,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,137.0,C,0.42,0.43,2292.0,0.421733,0.104849,0.02081,-29.45607,3.761991,1779.0,10,0.425,125.07,0.425,0.9129197080291971,0.023809523809523832,-0.0911073452673097,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,138.0,C,0.34,0.35,1595.0,0.42305,0.087838,0.018215,-25.92284,3.301479,1726.0,10,0.345,125.07,0.345,0.9063043478260869,0.029411764705882214,-0.0983801045963895,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,139.0,C,0.27,0.28,1126.0,0.423068,0.072509,0.015758,-22.41129,2.855368,1547.0,10,0.275,125.07,0.275,0.8997841726618705,0.03703703703703707,-0.10560035256987656,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,140.0,C,0.22,0.23,7744.0,0.425965,0.060739,0.013645,-19.65933,2.486882,10923.0,10,0.225,125.07,0.225,0.8933571428571428,0.0454545454545455,-0.1127688420484891,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,141.0,C,0.18,0.19,2332.0,0.429475,0.05096,0.011783,-17.24624,2.170323,2435.0,10,0.185,125.07,0.185,0.8870212765957446,0.05555555555555561,-0.11988630981735317,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,142.0,C,0.15,0.16,1465.0,0.434584,0.043274,0.010215,-15.29922,1.901101,595.0,10,0.155,125.07,0.155,0.8807746478873238,0.06666666666666674,-0.12695347704044563,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,143.0,C,0.12,0.13,849.0,0.436642,0.035718,0.008698,-13.14376,1.629555,627.0,10,0.125,125.07,0.125,0.8746153846153846,0.08333333333333341,-0.13397104969909213,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,144.0,C,0.1,0.11,3775.0,0.441873,0.030335,0.007514,-11.62168,1.421652,1091.0,10,0.10500000000000001,125.07,0.10500000000000001,0.8685416666666667,0.09999999999999995,-0.14093971901518543,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,145.0,C,0.08,0.1,2227.0,0.448383,0.026142,0.006542,-10.41432,1.25458,2225.0,10,0.09,125.07,0.09,0.862551724137931,0.25000000000000006,-0.1478601618597592,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,146.0,C,0.07,0.08,1004.0,0.452745,0.02205,0.005615,-9.109832,1.090589,75.0,10,0.07500000000000001,125.07,0.07500000000000001,0.8566438356164383,0.14285714285714277,-0.1547330411475213,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,147.0,C,0.06,0.07,1832.0,0.459671,0.019155,0.004909,-8.20671,0.967712,288.0,10,0.065,125.07,0.065,0.8508163265306122,0.16666666666666682,-0.1615590062179211,2023-02-02,30,AAPL
