window_id,train_start,train_end,test_start,test_end,test_year,train_r2,test_r2,train_size,test_size,intercept,beta_ievr,beta_normative_iv_rv_ratio,beta_SKEW,beta_KURT,beta_IV_RATIO,beta_SMIRK,beta_vol_hl7,beta_vol_hl10,beta_vol_hl21,beta_z_score_momentum,feature_std_ievr,feature_std_normative_iv_rv_ratio,feature_std_SKEW,feature_std_KURT,feature_std_IV_RATIO,feature_std_SMIRK,feature_std_vol_hl7,feature_std_vol_hl10,feature_std_vol_hl21,feature_std_z_score_momentum
1,2005-01,2009-12,2010-01,2010-06,2010,0.12663019274993914,0.10443287729274187,2887,333,1.1132522361907016,0.03738332018016107,0.06604442558538831,-0.0048020873353001965,0.0003916916099108801,0.009250006127901715,-0.004749536357228185,-0.04733748129009325,0.05502065280210468,-0.041388720798649664,0.0009955161599050667,0.10590529745090665,0.36250924114914385,0.19384119014204065,0.2275960226165912,0.22931224582235898,0.20457745011287357,0.015016429276025074,0.015057391019447431,0.015415676350099512,1.2827836415808256
2,2005-07,2010-06,2010-07,2010-12,2010,0.122556673800716,-0.1618785929878661,2996,370,1.1156197864208388,0.03993505371338614,0.06172583515763983,-0.006495348125219305,0.0023401824869145856,0.009381629570153373,-0.006217457941423111,-0.01007491042213234,0.012390529851515217,-0.0342938212631812,-0.0018230183994268202,0.10675720318717652,0.35662884674209233,0.1871611235786271,0.21373750703548933,0.22647692844816383,0.19281468717889877,0.014894739614938205,0.014950213152794338,0.015272062872580695,1.3075119512570275
3,2006-01,2010-12,2011-01,2011-06,2011,0.10221655527328577,0.11444893740494089,3118,398,1.109272814487423,0.037605939325678815,0.04935614594033704,0.005029457966656475,0.0054349850520407795,0.014889201010869246,-0.004735999180970628,0.08983646347276271,-0.1341746568681002,0.01852746212767904,0.0008995068409559985,0.10784479532820751,0.37204004028844717,0.14630938730058232,0.17636971248839647,0.22555786762116437,0.18621499380045917,0.014589484384861398,0.014652326025535223,0.014968297825848754,1.3031118246984028
4,2006-07,2011-06,2011-07,2011-12,2011,0.10493958130845726,0.10397242537327911,3266,398,1.10955524714718,0.03823376372537609,0.051892343214773755,0.007766696660472792,0.00016900232716494327,0.013446815114091825,-0.00411222654925007,0.09276960527739364,-0.14209502933569998,0.026093755403031594,0.0012717830057496907,0.10799459409280034,0.3690378591571225,0.13586890708320834,0.1801035879967698,0.22362701048021444,0.17550142511260838,0.014579954233250392,0.014587162041527607,0.014822575063681308,1.3031565732584867
5,2007-01,2011-12,2012-01,2012-06,2012,0.10609302718076463,0.0809259398887553,3420,369,1.113236439654338,0.042546873994625,0.05108888671085904,0.007773022587034026,0.00203100463282294,0.012522703263248756,-0.005337715696836205,0.10018250692175035,-0.13302229039928196,0.012376351200795338,0.004010484675363789,0.10792491688416253,0.3911042795017021,0.13027000535961658,0.17243036814152482,0.22799509084077949,0.16566197212226655,0.014487202396137332,0.014464669191822425,0.01463995327834093,1.2921780463797872
6,2007-07,2012-06,2012-07,2012-12,2012,0.10180598634934324,0.10545596179710237,3541,406,1.112915782980358,0.03867624263605178,0.05179557188712661,-0.0024963539997414474,0.019334912555458487,0.01056411299794664,-0.025722336695748062,0.07779247910945836,-0.10907487863518724,0.008833847851182717,0.006191270137573048,0.11025602605509709,0.3918037549277745,0.13468069988246267,0.18627180425051018,0.22987345615181595,0.1115295447115254,0.014400550548705628,0.014362157125909977,0.01450290374937672,1.2907601090371115
7,2008-01,2012-12,2013-01,2013-06,2013,0.10202423128794169,0.10433503959439305,3644,455,1.1092113705242377,0.038460856310859604,0.053190299641546895,-0.005761776084698029,0.016989312076505763,0.009095156958101704,-0.023768810530762127,0.14961118716288413,-0.20853808526504564,0.03960725040331401,0.009545531674540758,0.11273559215044375,0.3917309896822033,0.14066898546872486,0.19504044752041028,0.2277452786506595,0.11230449268795326,0.014468388064968425,0.014424859390855693,0.014547135520116102,1.2829989311016274
8,2008-07,2013-06,2013-07,2013-12,2013,0.10975049029571482,0.1541017007617883,3753,459,1.112662008231784,0.0442053208019916,0.054552463934041444,-0.005276610528521578,0.01692391503521701,0.011799554965676052,-0.022848386821206663,0.16840217388353093,-0.22569123907537814,0.040256385153660756,0.009627741290543102,0.11761004932393393,0.38246440411789656,0.1558939545960535,0.2074391969711923,0.22726313052657296,0.12158942047845582,0.014312425466242978,0.014311806172775202,0.014538428113556025,1.2807992337310938
9,2009-01,2013-12,2014-01,2014-06,2014,0.12680436731435307,0.1648307105876312,3912,483,1.1096135412572197,0.04901395907695445,0.06687227131524984,-0.002798667993563676,0.016764564048923125,-0.002170807417910263,-0.02167859857931145,0.14891174608009394,-0.21869918857200477,0.052535926845128034,0.010390764890413197,0.11532917896985508,0.3569786088384757,0.15407170610225787,0.2112119150180311,0.1807836610074202,0.12240585498519663,0.013289451066554074,0.013487779524504835,0.01405498407251144,1.25065629665599
10,2009-07,2014-06,2014-07,2014-12,2014,0.13022199733106066,0.2192757506869435,4036,514,1.118884717138367,0.052192728330279936,0.06369944097408278,-0.004383176772545989,0.02106826184020814,0.004129504714213989,-0.025075384668869837,0.14336760928147552,-0.2179228179665329,0.04994322278412533,0.012703062395437826,0.12218209598840071,0.35599553406617845,0.155199610409342,0.2192582721678684,0.18057523017629795,0.12728896726818964,0.01008045150151993,0.010119971248997517,0.01056258687217767,1.1941497282939508
