window_id,train_start,train_end,test_start,test_end,test_year,n_obs,r2,adj_r2,f_stat,f_p_value,beta_ievr,se_ievr,t_stat_ievr,p_value_ievr,ci_lower_ievr,ci_upper_ievr,sig_ievr,beta_normative_iv_rv_ratio,se_normative_iv_rv_ratio,t_stat_normative_iv_rv_ratio,p_value_normative_iv_rv_ratio,ci_lower_normative_iv_rv_ratio,ci_upper_normative_iv_rv_ratio,sig_normative_iv_rv_ratio,beta_SKEW,se_SKEW,t_stat_SKEW,p_value_SKEW,ci_lower_SKEW,ci_upper_SKEW,sig_SKEW,beta_KURT,se_KURT,t_stat_KURT,p_value_KURT,ci_lower_KURT,ci_upper_KURT,sig_KURT,beta_IV_RATIO,se_IV_RATIO,t_stat_IV_RATIO,p_value_IV_RATIO,ci_lower_IV_RATIO,ci_upper_IV_RATIO,sig_IV_RATIO,beta_SMIRK,se_SMIRK,t_stat_SMIRK,p_value_SMIRK,ci_lower_SMIRK,ci_upper_SMIRK,sig_SMIRK,beta_vol_hl7,se_vol_hl7,t_stat_vol_hl7,p_value_vol_hl7,ci_lower_vol_hl7,ci_upper_vol_hl7,sig_vol_hl7,beta_vol_hl10,se_vol_hl10,t_stat_vol_hl10,p_value_vol_hl10,ci_lower_vol_hl10,ci_upper_vol_hl10,sig_vol_hl10,beta_vol_hl21,se_vol_hl21,t_stat_vol_hl21,p_value_vol_hl21,ci_lower_vol_hl21,ci_upper_vol_hl21,sig_vol_hl21,beta_z_score_momentum,se_z_score_momentum,t_stat_z_score_momentum,p_value_z_score_momentum,ci_lower_z_score_momentum,ci_upper_z_score_momentum,sig_z_score_momentum
1,2005-01,2009-12,2010-01,2010-06,2010,2887,0.12663019274993914,0.1235934409862045,41.699224237614565,1.1102230246251565e-16,0.03738332018016107,0.004429004719146495,8.44056905574152,0.0,0.028698975662867037,0.0460676646974551,***,0.06604442558538831,0.0043046449017923785,15.34259551999018,0.0,0.05760392445199093,0.07448492671878569,***,-0.0048020873353001965,0.00533613354229664,-0.8999188826959917,0.3682387639725029,-0.015265120230989426,0.005660945560389032,,0.0003916916099108801,0.005435198627996531,0.07206573976768565,0.942554601996183,-0.010265587033617359,0.011048970253439119,,0.009250006127901715,0.004558762781195735,2.029060640324763,0.04254404846736115,0.0003112334069391223,0.018188778848864308,*,-0.004749536357228185,0.0066027707491019055,-0.7193247407346691,0.4719992990491917,-0.017696177778952063,0.008197105064495695,,-0.04733748129009325,0.0768976176565104,-0.6155909992106954,0.5382132032530236,-0.19811749771260462,0.10344253513241813,,0.05502065280210468,0.11506565792960519,0.47816745493051616,0.6325673676840595,-0.1705988438875184,0.2806401494917277,,-0.041388720798649664,0.04319956942835062,-0.9580817898496796,0.33810204837853575,-0.12609396897613545,0.04331652737883612,,0.0009955161599050667,0.004157451019769731,0.23945349089409246,0.8107710194014202,-0.007156368802731286,0.00914740112254142,
2,2005-07,2010-06,2010-07,2010-12,2010,2996,0.122556673800716,0.11961716517023269,41.69291170972448,1.1102230246251565e-16,0.03993505371338614,0.004291813286467833,9.304937341822885,0.0,0.031519842047697325,0.048350265379074955,***,0.06172583515763983,0.004157450258932067,14.847041170252144,0.0,0.05357407701177709,0.06987759330350257,***,-0.006495348125219305,0.005161204807680527,-1.2584945506431762,0.20831137799458066,-0.016615227068589526,0.003624530818150914,,0.0023401824869145856,0.0051959246416048085,0.45038807302482337,0.6524633521999788,-0.007847773684416977,0.01252813865824615,,0.009381629570153373,0.0044120748036913125,2.126353243672192,0.03355569165303951,0.0007306140483500818,0.018032645091956664,*,-0.006217457941423111,0.006147294108287792,-1.0114137752154602,0.3119004059884505,-0.01827082038745301,0.005835904504606789,,-0.01007491042213234,0.06692206235399387,-0.15054692081722848,0.880343306932871,-0.1412929486319836,0.12114312778771892,,0.012390529851515217,0.09818842991497598,0.12619134313731784,0.8995889624196067,-0.18013332095565743,0.2049143806586879,,-0.0342938212631812,0.036368868536796765,-0.9429444094056404,0.34578564721391136,-0.10560440873532073,0.03701676620895833,,-0.0018230183994268202,0.004037118150315232,-0.4515642920394769,0.6516157047239384,-0.009738834276462974,0.006092797477609333,
3,2006-01,2010-12,2011-01,2011-06,2011,3118,0.10221655527328577,0.09932700443734532,35.37454818302787,1.1102230246251565e-16,0.037605939325678815,0.004167241811150221,9.024179788429175,0.0,0.02943511245013478,0.045776766201222854,***,0.04935614594033704,0.00401562271624253,12.291031660095854,0.0,0.04148260283944766,0.057229689041226425,***,0.005029457966656475,0.004889836295740548,1.0285534448336335,0.3037696277090587,-0.004558180004181522,0.014617095937494471,,0.0054349850520407795,0.004660403644600068,1.1662047896512582,0.24362116553765167,-0.0037027979410875073,0.014572768045169066,,0.014889201010869246,0.004259133347423423,3.495828798099622,0.0004792071355272931,0.006538199845413085,0.023240202176325407,***,-0.004735999180970628,0.005947219600350518,-0.7963383730931168,0.4258962283206733,-0.016396877994214652,0.006924879632273396,,0.08983646347276271,0.0630656292071149,1.4244916700621388,0.15440462406861588,-0.033818069045560076,0.2134909959910855,,-0.1341746568681002,0.09244021608370548,-1.4514749375596852,0.1467486154303741,-0.3154247585389128,0.04707544480271236,,0.01852746212767904,0.03438496025183852,0.5388245905181291,0.5900464971969108,-0.048892085398575064,0.08594700965393315,,0.0008995068409559985,0.003939470826974429,0.22833189544059473,0.8194032562184552,-0.006824723133493162,0.00862373681540516,
4,2006-07,2011-06,2011-07,2011-12,2011,3266,0.10493958130845726,0.10218977971493481,38.16260109662426,1.1102230246251565e-16,0.03823376372537609,0.0040879413428680355,9.352816128851762,0.0,0.03021856550726893,0.04624896194348325,***,0.051892343214773755,0.0039394532887680155,13.172473287785078,0.0,0.0441682844937411,0.05961640193580641,***,0.007766696660472792,0.004657803288324873,1.6674591389337092,0.09551933826127446,-0.0013658259188954322,0.016899219239841015,.,0.00016900232716494327,0.004612285934864239,0.03664177146682425,0.970772883944762,-0.008874274693191745,0.00921227934752163,,0.013446815114091825,0.004130254134099051,3.2556871024172542,0.0011427729106585627,0.005348654499895088,0.021544975728288562,**,-0.00411222654925007,0.00560428547340321,-0.7337646464952319,0.46314503748615143,-0.015100510179726644,0.0068760570812265035,,0.09276960527739364,0.061860439382253864,1.4996596565398275,0.13379956605404342,-0.02851972886948652,0.2140589394242738,,-0.14209502933569998,0.09059528424685644,-1.5684594459521277,0.11687114789729725,-0.31972457437091995,0.035534515699520014,,0.026093755403031594,0.03349542064801465,0.7790245621106487,0.4360218770580344,-0.03958048338248893,0.09176799418855211,,0.0012717830057496907,0.0038492732864722845,0.3303956126521826,0.7411223197342873,-0.006275460410687,0.008819026422186382,
5,2007-01,2011-12,2012-01,2012-06,2012,3420,0.10609302718076463,0.10347083013524028,40.4595937448139,1.1102230246251565e-16,0.042546873994625,0.00402099982614975,10.581167827446821,0.0,0.03466306002407938,0.05043068796517062,***,0.05108888671085904,0.00386638898016503,13.213592055261444,0.0,0.0435082120589588,0.058669561362759276,***,0.007773022587034026,0.004482528814285155,1.7340708580082194,0.08299591339050294,-0.0010156928612014794,0.01656173803526953,.,0.00203100463282294,0.0044101014663517025,0.460534672120165,0.6451618653701359,-0.006615705403282498,0.01067771466892838,,0.012522703263248756,0.004043557954726649,3.0969515964549372,0.0019711189246294225,0.004594660469795127,0.020450746056702385,**,-0.005337715696836205,0.005182283402838059,-1.0299930131017196,0.3030863556472112,-0.015498412055219934,0.004822980661547524,,0.10018250692175035,0.05986639572856249,1.6734347492035984,0.09433348746948655,-0.017195147248154644,0.21756016109165532,.,-0.13302229039928196,0.08805138949307208,-1.510734710322183,0.13094873771581983,-0.30566113760762365,0.03961655680905973,,0.012376351200795338,0.03276583983290305,0.377721165210823,0.7056612582030777,-0.051866324004354196,0.07661902640594487,,0.004010484675363789,0.0037267711423987315,1.0761285096735094,0.28194593825319947,-0.003296446851067756,0.011317416201795334,
6,2007-07,2012-06,2012-07,2012-12,2012,3541,0.10180598634934324,0.0992615273871601,40.01085804975726,1.1102230246251565e-16,0.03867624263605178,0.003954668352134226,9.779895352079087,0.0,0.030922576537328647,0.04642990873477491,***,0.05179557188712661,0.003837553319242356,13.49702989855853,0.0,0.0442715257664465,0.05931961800780671,***,-0.0024963539997414474,0.006708999284993548,-0.3720903660438903,0.7098479040260566,-0.015650261149588493,0.010657553150105597,,0.019334912555458487,0.007838162292107745,2.4667660396527937,0.01368109478298618,0.00396712749004143,0.03470269762087554,*,0.01056411299794664,0.003991252863234886,2.6468162654531717,0.008161438614449068,0.0027387179808411443,0.01838950801505214,**,-0.025722336695748062,0.008929160347336138,-2.8807117013439996,0.0039916991969151105,-0.0432291720888701,-0.008215501302626018,**,0.07779247910945836,0.05739710785032348,1.355337960796224,0.17539661901119863,-0.03474237076325824,0.19032732898217497,,-0.10907487863518724,0.08482267033112711,-1.285916585853586,0.19855651728234203,-0.2753812802819128,0.05723152301153832,,0.008833847851182717,0.031725481733169116,0.2784464527751172,0.7806859735795382,-0.05336828144933879,0.07103597715170422,,0.006191270137573048,0.003674964556193743,1.6847156055255967,0.09213185142096947,-0.001013998561631744,0.013396538836777841,.
7,2008-01,2012-12,2013-01,2013-06,2013,3644,0.10202423128794169,0.09955251158325673,41.276618499484776,1.1102230246251565e-16,0.038460856310859604,0.0038948325827329027,9.8748419845745,0.0,0.030824580647482606,0.0460971319742366,***,0.053190299641546895,0.0038203843518154444,13.922761362026545,0.0,0.045699988458506445,0.060680610824587346,***,-0.005761776084698029,0.007003958272432592,-0.8226456898488728,0.41076349845070403,-0.019493856980857257,0.007970304811461201,,0.016989312076505763,0.008322399998196651,2.0413957608607025,0.04128360914776641,0.0006722716858954501,0.03330635246711608,*,0.009095156958101704,0.003944662469306535,2.3056869957496304,0.021184187840246782,0.0013611839631787973,0.01682912995302461,*,-0.023768810530762127,0.00901700411623508,-2.6359986337331796,0.008424684406851402,-0.041447703686436986,-0.006089917375087267,**,0.14961118716288413,0.05775517302193727,2.590437866164075,0.009623699783513961,0.03637540287351554,0.2628469714522527,**,-0.20853808526504564,0.08528147916446806,-2.445291607370849,0.014520669401036024,-0.3757424181977507,-0.041333752332340545,*,0.03960725040331401,0.03169496121991867,1.2496387084525875,0.2115120536086994,-0.022534434989878283,0.1017489357965063,,0.009545531674540758,0.0036637841651686533,2.605375001423249,0.009214811273724921,0.0023622535073667024,0.016728809841714813,**
8,2008-07,2013-06,2013-07,2013-12,2013,3753,0.10975049029571482,0.10737141624519564,46.13159908652831,1.1102230246251565e-16,0.0442053208019916,0.0038754456735880373,11.406512831094496,0.0,0.03660712920615763,0.05180351239782557,***,0.054552463934041444,0.0038587774749090226,14.137240172245903,0.0,0.04698695197760578,0.06211797589047711,***,-0.005276610528521578,0.007030985845960537,-0.7504794696113792,0.45301316987351203,-0.019061548330460643,0.008508327273417486,,0.01692391503521701,0.008174066543894243,2.0704400856460627,0.03847958208524349,0.0008978553381647388,0.03294997473226928,*,0.011799554965676052,0.003914211965344959,3.014541642135151,0.0025909467166862488,0.004125358250163452,0.01947375168118865,**,-0.022848386821206663,0.009049881889598781,-2.5247165764082284,0.011620170872447044,-0.040591568459765484,-0.005105205182647843,*,0.16840217388353093,0.05699565883198685,2.9546491317865247,0.003149765155473938,0.05665659094641412,0.28014775682064774,**,-0.22569123907537814,0.08446243837191506,-2.672090025172937,0.007570717810695626,-0.3912881390073959,-0.060094339143360376,**,0.040256385153660756,0.03157873672689844,1.2747940331435357,0.2024613022098829,-0.02165682747130846,0.10216959777862997,,0.009627741290543102,0.0036267595707130023,2.6546400727220907,0.007972924040232865,0.002517123206510258,0.016738359374575948,**
9,2009-01,2013-12,2014-01,2014-06,2014,3912,0.12680436731435307,0.12456597809957315,56.64982947428138,1.1102230246251565e-16,0.04901395907695445,0.0037714052323462124,12.996205938459335,0.0,0.04161984648856925,0.056408071665339655,***,0.06687227131524984,0.0038581561740520173,17.332702020980513,0.0,0.05930807723452866,0.07443646539597101,***,-0.002798667993563676,0.007024224054763662,-0.39843091162015054,0.6903343809741744,-0.01657016702567783,0.010972831038550481,,0.016764564048923125,0.00836460184464128,2.004227381087268,0.04511471337937234,0.00036515746544769564,0.03316397063239855,*,-0.002170807417910263,0.0037821325333859666,-0.573963867936389,0.5660253423909221,-0.009585951655447655,0.005244336819627129,,-0.02167859857931145,0.009204781280343256,-2.355145431386397,0.01856471608002419,-0.039725237682046444,-0.003631959476576456,*,0.14891174608009394,0.05402999246531912,2.756094148554207,0.005876799092748852,0.04298204008834612,0.2548414520718418,**,-0.21869918857200477,0.08095801155900328,-2.7013903177774305,0.006934880730543824,-0.377423222591192,-0.05997515455281757,**,0.052535926845128034,0.030865850993813716,1.7020728459959695,0.08882138948169205,-0.007978805283670398,0.11305065897392647,.,0.010390764890413197,0.0036090294639133185,2.8791022612340638,0.004009794349105533,0.0033150017339906458,0.017466528046835746,**
10,2009-07,2014-06,2014-07,2014-12,2014,4036,0.13022199733106066,0.12806105819399505,60.261760776792386,1.1102230246251565e-16,0.052192728330279936,0.003759364838833712,13.883390032043808,0.0,0.04482229227623488,0.05956316438432499,***,0.06369944097408278,0.003801272724087451,16.75739827096324,0.0,0.05624684226712565,0.0711520396810399,***,-0.004383176772545989,0.007052900291689997,-0.621471535293136,0.5343246126190042,-0.018210765427544368,0.009444411882452392,,0.02106826184020814,0.008614314771175642,2.44572695563722,0.014498585757471538,0.004179436495429133,0.03795708718498715,*,0.004129504714213989,0.0036562999190848837,1.129421766704396,0.25878725947684456,-0.003038867046262878,0.011297876474690856,,-0.025075384668869837,0.009486920534150692,-2.6431532317156368,0.008245619625601108,-0.04367500033385466,-0.006475769003885017,**,0.14336760928147552,0.041995498119908665,3.4138804324244867,0.0006467734505193334,0.06103318665422611,0.22570203190872493,***,-0.2179228179665329,0.061716669753889467,-3.531020368330861,0.00041859925858411806,-0.3389216535120551,-0.09692398242101068,***,0.04994322278412533,0.02343844054131489,2.130825329274382,0.03316397912217561,0.0039909051394531395,0.09589554042879753,*,0.012703062395437826,0.0035101321689835815,3.618969823326115,0.0002994139405854135,0.005821260335288184,0.019584864455587467,***
