sector,n_obs,n_stocks,log_ievr_coef,log_ievr_tstat,log_ievr_pval,r_squared,adj_r_squared,model_type
Financial,387,14,0.2369487009583447,2.1084831731750904,0.03565736747260884,0.06313536774009465,0.02787702136472192,Log Model with Stock Dummies
Healthcare,426,15,0.2709800226200815,2.4644618799392632,0.014131132106927154,0.06111414469751031,0.026764662186443577,Log Model with Stock Dummies
Technology,481,15,0.30329286703564456,2.912865131667429,0.00375369805917665,0.06157653927330364,0.03130481473373281,Log Model with Stock Dummies
